ts,open,high,low,close,volume
1748876400000,0.6698,0.6706,0.665,0.6687,725437
1748877300000,0.6687,0.6761,0.6671,0.6704,1116060
1748878200000,0.6704,0.6712,0.6681,0.6708,775742
1748879100000,0.6707,0.6726,0.6689,0.6701,674039
1748880000000,0.6701,0.6707,0.6679,0.6686,635793
1748880900000,0.6686,0.6721,0.6663,0.6676,455607
1748881800000,0.6675,0.668,0.6647,0.6653,646113
1748882700000,0.6654,0.6723,0.6641,0.6702,726872
1748883600000,0.6704,0.6724,0.666,0.6661,887095
1748884500000,0.6661,0.6719,0.665,0.669,528548
1748885400000,0.6691,0.6697,0.6649,0.6659,525609
1748886300000,0.6659,0.6701,0.6653,0.6693,625714
1748887200000,0.6693,0.6708,0.6666,0.6686,563521
1748888100000,0.6684,0.6757,0.668,0.6732,757277
1748889000000,0.6731,0.674,0.6691,0.67,450640
1748889900000,0.6699,0.6706,0.6665,0.6674,600446
1748890800000,0.6675,0.6706,0.6644,0.6645,487886
1748891700000,0.6644,0.6668,0.6635,0.6642,602469
1748892600000,0.6643,0.6645,0.6592,0.6608,530228
1748893500000,0.6606,0.6638,0.6591,0.6633,509516
1748894400000,0.6634,0.6737,0.6633,0.673,1027243
1748895300000,0.673,0.6756,0.6717,0.6745,1123717
1748896200000,0.6746,0.6759,0.6723,0.6753,897575
1748897100000,0.6753,0.6767,0.6737,0.6766,610218
1748898000000,0.6765,0.6824,0.6761,0.6811,915632
1748898900000,0.681,0.6812,0.6766,0.6789,250287
1748899800000,0.6789,0.6804,0.6768,0.6775,289552
1748900700000,0.6776,0.6824,0.6776,0.682,85191
1748901600000,0.6821,0.6882,0.6821,0.6872,1122122
1748902500000,0.687,0.6894,0.6854,0.6892,838821
1748903400000,0.6891,0.6903,0.6857,0.6863,703384
1748904300000,0.6863,0.6894,0.686,0.6884,438430
1748905200000,0.6885,0.6931,0.6872,0.6912,1176027
1748906100000,0.6912,0.6943,0.6886,0.6896,923795
1748907000000,0.6895,0.6896,0.6865,0.6889,567399
1748907900000,0.6888,0.6895,0.6863,0.6872,404200
1748908800000,0.6873,0.6938,0.6862,0.6937,747497
1748909700000,0.6937,0.699,0.6933,0.6949,1718935
1748910600000,0.695,0.6987,0.6941,0.6975,542034
1748911500000,0.6975,0.698,0.6951,0.6966,313382
1748912400000,0.6965,0.7007,0.6957,0.6958,616567
1748913300000,0.6958,0.7009,0.6946,0.6993,741274
1748914200000,0.6993,0.7044,0.6985,0.7029,666288
1748915100000,0.703,0.705,0.7018,0.7032,463298
1748916000000,0.7032,0.7052,0.6986,0.6995,555827
1748916900000,0.6995,0.6995,0.696,0.6972,459157
1748917800000,0.6973,0.6982,0.6948,0.6962,341025
1748918700000,0.6962,0.6963,0.6909,0.6911,758542
1748919600000,0.6912,0.6926,0.6861,0.6867,624549
1748920500000,0.6867,0.6902,0.6864,0.6873,417931
1748921400000,0.6872,0.6882,0.6843,0.6871,664906
1748922300000,0.6871,0.6882,0.6856,0.6864,395490
1748923200000,0.6864,0.6869,0.6824,0.6845,646518
1748924100000,0.6845,0.6864,0.6835,0.6841,248754
1748925000000,0.6842,0.6856,0.6819,0.6835,220209
1748925900000,0.6836,0.6844,0.6816,0.6831,231843
1748926800000,0.6832,0.6882,0.6832,0.6873,335804
1748927700000,0.6873,0.688,0.6845,0.6864,309376
1748928600000,0.6863,0.6901,0.686,0.6891,371138
1748929500000,0.6891,0.6924,0.6882,0.6915,352121
1748930400000,0.6916,0.6925,0.6898,0.6898,391652
1748931300000,0.6898,0.6904,0.6871,0.6873,320968
1748932200000,0.6873,0.6903,0.6868,0.6887,211153
1748933100000,0.6887,0.6916,0.6887,0.6913,211727
1748934000000,0.6914,0.6924,0.6889,0.6892,310163
1748934900000,0.6892,0.6903,0.6873,0.6883,175231
1748935800000,0.6883,0.69,0.6876,0.6882,194569
1748936700000,0.6882,0.6884,0.6866,0.6876,244252
1748937600000,0.6876,0.6886,0.6824,0.6834,511696
1748938500000,0.6833,0.6841,0.6805,0.683,458229
1748939400000,0.6831,0.6842,0.6808,0.6826,368397
1748940300000,0.6826,0.6871,0.6822,0.6859,441975
1748941200000,0.6859,0.687,0.6852,0.6864,220732
1748942100000,0.6864,0.6871,0.684,0.6848,201508
1748943000000,0.6848,0.6896,0.6845,0.6893,326992
1748943900000,0.6893,0.6919,0.6888,0.69,378754
1748944800000,0.69,0.6919,0.6885,0.6918,396282
1748945700000,0.6918,0.692,0.69,0.6913,282153
1748946600000,0.6912,0.6924,0.6907,0.6912,289919
1748947500000,0.6913,0.6926,0.6907,0.6923,258664
1748948400000,0.6924,0.6945,0.6917,0.6938,371175
1748949300000,0.6939,0.6942,0.6909,0.6929,249646
1748950200000,0.6929,0.6937,0.691,0.6923,338519
1748951100000,0.6923,0.6934,0.6907,0.6928,263477
1748952000000,0.6928,0.6959,0.6907,0.6959,498541
1748952900000,0.6959,0.6972,0.6938,0.6966,531797
1748953800000,0.6967,0.697,0.6933,0.696,262666
1748954700000,0.696,0.6972,0.6948,0.6948,247765
1748955600000,0.6948,0.7,0.6947,0.6994,612318
1748956500000,0.6994,0.7039,0.6994,0.7018,952344
1748957400000,0.7019,0.7041,0.6948,0.7026,1378866
1748958300000,0.7026,0.7037,0.6981,0.7026,1075696
1748959200000,0.7028,0.7049,0.6945,0.6956,955745
1748960100000,0.6954,0.7037,0.6951,0.7012,738916
1748961000000,0.7012,0.7058,0.7008,0.7055,739104
1748961900000,0.7056,0.7084,0.7009,0.7079,1013801
1748962800000,0.7079,0.7091,0.7031,0.7042,889975
1748963700000,0.7041,0.7082,0.7033,0.7064,466067
