ts,open,high,low,close,volume
1748964600000,1.1816,1.1893,1.1728,1.1869,683556
1748965500000,1.1871,1.189,1.1677,1.1735,782100
1748966400000,1.1732,1.177,1.1637,1.1672,801310
1748967300000,1.1672,1.1727,1.1524,1.1536,733232
1748968200000,1.1536,1.1655,1.1532,1.1638,501535
1748969100000,1.1638,1.1639,1.1525,1.1536,517025
1748970000000,1.1536,1.1644,1.151,1.1603,465498
1748970900000,1.1602,1.1728,1.1586,1.1699,405128
1748971800000,1.1698,1.1702,1.1587,1.1616,295380
1748972700000,1.1614,1.1624,1.1566,1.1618,288701
1748973600000,1.1619,1.1624,1.1463,1.1496,478340
1748974500000,1.1494,1.1527,1.1462,1.1506,247712
1748975400000,1.1503,1.1542,1.1454,1.1528,200967
1748976300000,1.1529,1.1533,1.1468,1.1515,77751
1748977200000,1.1515,1.1623,1.1515,1.1613,290853
1748978100000,1.1612,1.1717,1.1603,1.1704,334988
1748979000000,1.1703,1.1703,1.1615,1.1638,348967
1748979900000,1.164,1.164,1.1515,1.1581,430429
1748980800000,1.1583,1.1602,1.1295,1.1315,1725263
1748981700000,1.1316,1.1321,1.0798,1.0802,4491717
1748982600000,1.0803,1.1082,1.058,1.1016,4447614
1748983500000,1.1016,1.1051,1.0688,1.0758,2112793
1748984400000,1.076,1.0892,1.0621,1.0668,1841643
1748985300000,1.0668,1.0671,1.0269,1.0423,3836556
1748986200000,1.0422,1.0427,0.9924,1.0031,3780435
1748987100000,1.0033,1.0186,0.942,0.9933,8627260
1748988000000,0.9934,1.0077,0.9725,1.0024,3629199
1748988900000,1.0023,1.02,0.993,1.0165,3464384
1748989800000,1.0167,1.0363,1.0097,1.0246,2723867
1748990700000,1.0248,1.039,1.0231,1.0237,1638704
1748991600000,1.0239,1.0356,1.0154,1.0338,1532724
1748992500000,1.0338,1.0447,1.0251,1.0445,2911014
1748993400000,1.0442,1.0524,1.0327,1.035,1480612
1748994300000,1.0351,1.038,1.0268,1.0282,828041
1748995200000,1.0281,1.0354,1.0213,1.0281,1376502
1748996100000,1.0278,1.0426,1.022,1.0228,940379
1748997000000,1.0228,1.0264,1.0125,1.0162,1308396
1748997900000,1.0163,1.0296,1.0135,1.0283,780264
1748998800000,1.0284,1.0496,1.0263,1.0489,1140913
1748999700000,1.0485,1.0562,1.0433,1.0496,1092557
1749000600000,1.0497,1.0518,1.038,1.0464,1150682
1749001500000,1.0464,1.0514,1.0367,1.0407,816557
1749002400000,1.0404,1.0693,1.0379,1.0643,1699702
1749003300000,1.0642,1.0663,1.0536,1.0586,1051622
1749004200000,1.0584,1.0683,1.0578,1.0596,1205858
