ts,open,high,low,close,volume
1748878200000,0.01045,0.010468,0.010412,0.010437,111944
1748879100000,0.010436,0.010489,0.010412,0.01044,90032
1748880000000,0.01044,0.010468,0.010364,0.010373,140486
1748880900000,0.010373,0.010396,0.010289,0.010308,127552
1748881800000,0.010309,0.010333,0.010264,0.010276,123266
1748882700000,0.010277,0.010414,0.010273,0.010392,107531
1748883600000,0.010399,0.010436,0.010319,0.010325,95613
1748884500000,0.010327,0.010467,0.010311,0.010418,100442
1748885400000,0.010422,0.010435,0.010333,0.010364,132162
1748886300000,0.010364,0.010438,0.010351,0.010428,50902
1748887200000,0.010427,0.010479,0.010412,0.010456,94713
1748888100000,0.010453,0.010616,0.010435,0.010518,386542
1748889000000,0.010516,0.010554,0.010435,0.010439,161085
1748889900000,0.010439,0.010455,0.01036,0.010384,164005
1748890800000,0.010385,0.01048,0.010351,0.010356,107008
1748891700000,0.010354,0.010416,0.01033,0.010334,94632
1748892600000,0.010332,0.010348,0.01025,0.010256,133626
1748893500000,0.010252,0.010339,0.010232,0.010327,100169
1748894400000,0.010329,0.010569,0.010329,0.01056,317151
1748895300000,0.010561,0.010614,0.010515,0.010614,189617
1748896200000,0.010616,0.010631,0.010559,0.010586,134379
1748897100000,0.010585,0.01064,0.010551,0.010636,82102
1748898000000,0.010637,0.010841,0.010637,0.010808,367359
1748898900000,0.010808,0.010826,0.010702,0.010768,143373
1748899800000,0.010769,0.010811,0.010724,0.010779,186185
1748900700000,0.010779,0.010828,0.010755,0.010827,82666
1748901600000,0.010823,0.010958,0.010823,0.010945,211845
1748902500000,0.010944,0.010993,0.010889,0.01099,181980
1748903400000,0.010988,0.010995,0.010891,0.01091,140294
1748904300000,0.01091,0.010956,0.010898,0.010915,54114
1748905200000,0.010916,0.010955,0.010878,0.010888,159559
1748906100000,0.010888,0.010938,0.010869,0.010906,147063
1748907000000,0.010905,0.010908,0.010856,0.010893,77050
1748907900000,0.010893,0.010929,0.010857,0.010878,54036
1748908800000,0.010876,0.011039,0.010868,0.011035,383561
1748909700000,0.011034,0.011136,0.011019,0.011063,272273
1748910600000,0.011063,0.011124,0.011024,0.011124,113673
1748911500000,0.011124,0.011205,0.01109,0.011186,181212
1748912400000,0.011187,0.01127,0.011135,0.011173,207489
1748913300000,0.011174,0.011262,0.011139,0.011237,188747
1748914200000,0.011236,0.01132,0.011176,0.011311,138465
1748915100000,0.011311,0.01136,0.011251,0.011332,151043
1748916000000,0.011333,0.011373,0.011237,0.011258,106465
1748916900000,0.011259,0.0113,0.011177,0.011179,164603
1748917800000,0.011182,0.011195,0.011138,0.011185,90447
1748918700000,0.011183,0.011183,0.011089,0.011097,140431
1748919600000,0.011095,0.011121,0.010999,0.011003,174611
1748920500000,0.011004,0.011097,0.011,0.01107,77303
1748921400000,0.011072,0.011103,0.01102,0.011103,90969
1748922300000,0.011098,0.011143,0.011093,0.0111,68220
1748923200000,0.011101,0.011118,0.011004,0.011069,97871
1748924100000,0.011069,0.011084,0.011041,0.011048,62153
1748925000000,0.011048,0.011068,0.010984,0.011013,134741
1748925900000,0.011014,0.011035,0.010965,0.010995,96303
1748926800000,0.010996,0.011087,0.010996,0.011045,90886
1748927700000,0.011044,0.011066,0.010973,0.011012,75115
1748928600000,0.01101,0.011049,0.010977,0.011035,45673
1748929500000,0.011036,0.011101,0.011013,0.011076,113364
1748930400000,0.011077,0.011094,0.011038,0.011039,46828
1748931300000,0.011039,0.011044,0.010995,0.011004,35936
1748932200000,0.011003,0.011079,0.010996,0.01106,63070
1748933100000,0.011059,0.011145,0.011055,0.011145,78513
1748934000000,0.011143,0.011159,0.011105,0.011105,94236
1748934900000,0.011105,0.01114,0.011059,0.011083,59132
1748935800000,0.011083,0.011116,0.011079,0.011099,89048
1748936700000,0.011099,0.01111,0.011055,0.011094,29771
1748937600000,0.011094,0.011114,0.010964,0.010973,109131
1748938500000,0.010976,0.01099,0.010939,0.010973,300722
1748939400000,0.010975,0.010996,0.010889,0.010929,129723
1748940300000,0.010929,0.01102,0.010918,0.010999,136264
1748941200000,0.010998,0.01103,0.010995,0.010998,42641
1748942100000,0.011002,0.011025,0.010975,0.010986,57861
1748943000000,0.010986,0.01108,0.010975,0.011074,85586
1748943900000,0.011074,0.011124,0.011055,0.011056,54779
1748944800000,0.011054,0.011065,0.011014,0.011044,48012
1748945700000,0.011044,0.011056,0.011023,0.011056,44570
1748946600000,0.011055,0.011079,0.011007,0.011007,93071
1748947500000,0.011007,0.011032,0.010946,0.010994,87421
1748948400000,0.010996,0.011027,0.010987,0.010999,76356
1748949300000,0.011,0.011019,0.010967,0.010982,53101
1748950200000,0.010978,0.010978,0.010923,0.010927,73835
1748951100000,0.010927,0.010977,0.010926,0.010937,76359
1748952000000,0.010941,0.01098,0.010909,0.01098,57931
1748952900000,0.010981,0.011001,0.010925,0.01097,71815
1748953800000,0.010973,0.010981,0.01091,0.010945,70302
1748954700000,0.010947,0.010985,0.010926,0.010955,31744
1748955600000,0.010958,0.011019,0.010956,0.011018,97318
1748956500000,0.01102,0.011032,0.010991,0.01101,184284
1748957400000,0.011013,0.011027,0.01086,0.010962,287777
1748958300000,0.010963,0.010972,0.010875,0.010902,176630
1748959200000,0.010902,0.010951,0.01078,0.010802,350369
1748960100000,0.010801,0.010927,0.010793,0.01091,195329
1748961000000,0.01091,0.010964,0.010895,0.010964,142157
1748961900000,0.010965,0.011081,0.010904,0.011064,184664
1748962800000,0.011064,0.011097,0.010974,0.011002,183540
1748963700000,0.011,0.011134,0.010967,0.011112,326116
1748964600000,0.011114,0.011138,0.01105,0.011098,162117
1748965500000,0.011101,0.01111,0.010991,0.011029,119955
1748966400000,0.011031,0.011077,0.010921,0.010959,144949
1748967300000,0.010958,0.010979,0.010877,0.01088,135535
1748968200000,0.010879,0.010933,0.010864,0.010894,120622
1748969100000,0.010893,0.010896,0.01074,0.010751,238970
1748970000000,0.010753,0.010857,0.010748,0.010836,183694
1748970900000,0.010837,0.010951,0.010837,0.010942,109487
1748971800000,0.010944,0.010953,0.010871,0.010902,61168
1748972700000,0.010903,0.010938,0.010858,0.010938,42722
1748973600000,0.010937,0.010941,0.010805,0.010829,102137
1748974500000,0.010826,0.010861,0.010798,0.01083,130664
1748975400000,0.01083,0.010874,0.010793,0.010874,64996
1748976300000,0.010875,0.010875,0.010814,0.01084,46622
1748977200000,0.010839,0.010919,0.010838,0.010908,57782
1748978100000,0.010908,0.01103,0.010908,0.011012,113446
1748979000000,0.011011,0.011019,0.010944,0.010959,74627
1748979900000,0.010959,0.010964,0.010895,0.010945,64226
1748980800000,0.010946,0.010956,0.010876,0.010878,65999
1748981700000,0.010881,0.010883,0.010686,0.010694,282852
1748982600000,0.010693,0.010821,0.010633,0.010785,236719
1748983500000,0.010786,0.010814,0.010718,0.010737,89945
1748984400000,0.010739,0.010792,0.01068,0.010687,134642
1748985300000,0.010686,0.010706,0.010521,0.010599,478315
1748986200000,0.010598,0.0106,0.010453,0.010462,217286
1748987100000,0.010463,0.010503,0.010312,0.010362,221686
1748988000000,0.010363,0.010419,0.010324,0.010397,244706
1748988900000,0.010399,0.010432,0.010351,0.010432,144072
1748989800000,0.010429,0.010491,0.010393,0.010481,169023
1748990700000,0.010486,0.01051,0.010449,0.010458,98685
1748991600000,0.010459,0.010464,0.010413,0.010461,143305
1748992500000,0.010459,0.010459,0.010365,0.010392,136769
1748993400000,0.010393,0.010416,0.010363,0.010386,149351
1748994300000,0.01039,0.010446,0.010386,0.010408,145692
1748995200000,0.010407,0.010474,0.010373,0.01039,110872
1748996100000,0.01039,0.010464,0.010349,0.01035,85935
1748997000000,0.01035,0.010363,0.010248,0.010307,254898
1748997900000,0.010308,0.010448,0.010295,0.010444,130331
1748998800000,0.010446,0.010583,0.010424,0.010567,325849
1748999700000,0.010568,0.010644,0.010542,0.010588,156944
1749000600000,0.010588,0.010594,0.0105,0.010522,106087
1749001500000,0.010519,0.010531,0.010434,0.010458,107835
1749002400000,0.010461,0.010473,0.010403,0.01044,180625
1749003300000,0.010441,0.010475,0.010373,0.010394,119730
1749004200000,0.010391,0.010424,0.010354,0.010368,84376
1749005100000,0.010368,0.010393,0.010328,0.010336,68966
1749006000000,0.010335,0.010432,0.010324,0.010378,177255
1749006900000,0.01038,0.010435,0.010367,0.010376,286774
1749007800000,0.010378,0.010427,0.010366,0.010373,224920
1749008700000,0.01037,0.010404,0.010331,0.010347,74492
1749009600000,0.010347,0.010371,0.010322,0.010359,77538
1749010500000,0.010359,0.010375,0.010318,0.010364,62530
1749011400000,0.01036,0.010366,0.010282,0.010313,153835
1749012300000,0.010313,0.010322,0.010281,0.01031,63656
1749013200000,0.010312,0.010363,0.010296,0.010337,75274
1749014100000,0.010337,0.010362,0.010268,0.010278,72120
1749015000000,0.010277,0.010279,0.010186,0.010221,204530
1749015900000,0.010223,0.010254,0.010189,0.010197,55187
1749016800000,0.010198,0.010249,0.010153,0.01018,128689
1749017700000,0.010178,0.0102,0.010126,0.0102,120468
1749018600000,0.0102,0.010265,0.010174,0.010238,67234
1749019500000,0.010242,0.010256,0.010162,0.010172,65463
1749020400000,0.010172,0.010252,0.010171,0.010209,94566
1749021300000,0.010209,0.01021,0.010172,0.010187,75235
1749022200000,0.010186,0.010186,0.010102,0.01013,102602
1749023100000,0.01013,0.010187,0.010109,0.010174,58433
1749024000000,0.010176,0.010257,0.010176,0.010227,121574
1749024900000,0.010228,0.010325,0.010226,0.010255,130337
1749025800000,0.010255,0.010317,0.010253,0.010277,61342
1749026700000,0.010279,0.010308,0.010238,0.010274,51422
1749027600000,0.01027,0.010276,0.010206,0.010219,98758
1749028500000,0.010214,0.010217,0.010162,0.010198,96750
1749029400000,0.0102,0.010275,0.010169,0.010275,89616
1749030300000,0.010275,0.010358,0.010275,0.010342,166362
1749031200000,0.010341,0.010354,0.010298,0.010344,161866
1749032100000,0.010342,0.010349,0.010236,0.010245,81493
1749033000000,0.010244,0.01026,0.010211,0.010249,74889
1749033900000,0.010248,0.010252,0.010207,0.010221,69836
1749034800000,0.01022,0.010263,0.010188,0.010227,107540
1749035700000,0.010225,0.010245,0.010153,0.010188,87875
1749036600000,0.010187,0.010204,0.010164,0.010174,106936
1749037500000,0.010173,0.010215,0.01015,0.010192,133403
1749038400000,0.010194,0.010247,0.010189,0.010221,134482
1749039300000,0.010218,0.010218,0.010057,0.010125,220971
1749040200000,0.010124,0.010175,0.010093,0.010172,88234
1749041100000,0.01017,0.010174,0.010108,0.01013,99737
1749042000000,0.010129,0.010131,0.010075,0.010083,89407
1749042900000,0.010084,0.010162,0.01007,0.010109,88190
1749043800000,0.01011,0.01031,0.010109,0.010241,219596
1749044700000,0.01024,0.010288,0.010175,0.010187,198767
1749045600000,0.010186,0.010186,0.010104,0.010141,225402
1749046500000,0.010141,0.010171,0.010115,0.010146,107900
1749047400000,0.010147,0.010277,0.010134,0.010275,257037
1749048300000,0.010276,0.010336,0.010252,0.010329,151242
1749049200000,0.01033,0.010381,0.010287,0.010374,192215
1749050100000,0.010376,0.01045,0.010367,0.010422,205397
1749051000000,0.01042,0.01048,0.010389,0.010456,152098
1749051900000,0.010457,0.010478,0.010406,0.010421,107784
1749052800000,0.010422,0.01046,0.010407,0.010421,149112
1749053700000,0.010422,0.010502,0.010397,0.010425,142942
1749054600000,0.010424,0.010555,0.010415,0.010484,229604
1749055500000,0.010483,0.01052,0.010475,0.010509,63124
1749056400000,0.010507,0.010512,0.010429,0.010445,84584
1749057300000,0.010446,0.010447,0.010383,0.010384,63698
1749058200000,0.010382,0.010382,0.010313,0.01034,99900
1749059100000,0.010339,0.010344,0.010271,0.010308,182608
1749060000000,0.01031,0.010358,0.010274,0.010308,52591
1749060900000,0.01031,0.010335,0.010286,0.01032,71738
1749061800000,0.010318,0.010334,0.010238,0.010281,43403
1749062700000,0.010283,0.010291,0.010166,0.010176,83310
1749063600000,0.010175,0.010235,0.010161,0.010208,74644
1749064500000,0.010209,0.01021,0.010144,0.010151,55297
1749065400000,0.010152,0.01017,0.010111,0.010149,62189
1749066300000,0.01015,0.010172,0.010071,0.010073,103216
1749067200000,0.010072,0.0101,0.009908,0.009917,332578
1749068100000,0.009917,0.009954,0.009808,0.009954,232565
1749069000000,0.009955,0.009999,0.009912,0.009991,124815
1749069900000,0.009992,0.009992,0.009926,0.009964,108594
1749070800000,0.009965,0.009975,0.009881,0.009975,132867
1749071700000,0.009974,0.009974,0.00988,0.009961,82254
1749072600000,0.009961,0.010116,0.00996,0.010099,169635
1749073500000,0.010099,0.010194,0.010097,0.010113,131295
1749074400000,0.010112,0.010147,0.01008,0.010134,77344
1749075300000,0.010133,0.010166,0.010052,0.010056,80649
1749076200000,0.010058,0.01014,0.010051,0.01013,65874
1749077100000,0.010127,0.010127,0.010055,0.010079,41560
1749078000000,0.010079,0.010101,0.010051,0.010051,85445
1749078900000,0.010053,0.010072,0.010017,0.01004,55226
1749079800000,0.010038,0.010118,0.010022,0.010112,91135
1749080700000,0.010112,0.010153,0.010062,0.010084,72106
1749081600000,0.01008,0.010229,0.010078,0.010188,215363
1749082500000,0.010189,0.010226,0.01011,0.010144,186018
1749083400000,0.010146,0.010203,0.010092,0.010094,118221
1749084300000,0.010094,0.010135,0.010065,0.010105,47464
1749085200000,0.010103,0.010235,0.0101,0.010196,113382
1749086100000,0.0102,0.010215,0.010119,0.010178,84015
1749087000000,0.010177,0.010178,0.01009,0.010104,80476
