ts,open,high,low,close,volume
1748879100000,0.6426,0.6435,0.6415,0.6433,648470
1748880000000,0.6433,0.6435,0.641,0.6416,563563
1748880900000,0.6417,0.6424,0.6401,0.6405,619806
1748881800000,0.6405,0.6409,0.6384,0.639,741123
1748882700000,0.639,0.6444,0.6389,0.6435,898882
1748883600000,0.6435,0.6445,0.6422,0.6428,1058075
1748884500000,0.6428,0.6454,0.6419,0.644,783181
1748885400000,0.644,0.6443,0.6418,0.6421,312012
1748886300000,0.6421,0.6435,0.6415,0.6435,343955
1748887200000,0.6434,0.6439,0.6423,0.6432,276413
1748888100000,0.6431,0.6457,0.643,0.6445,610801
1748889000000,0.6445,0.6445,0.6424,0.6425,328202
1748889900000,0.6425,0.6425,0.6407,0.6422,428948
1748890800000,0.6422,0.644,0.6419,0.6421,305808
1748891700000,0.642,0.6426,0.6407,0.6408,335603
1748892600000,0.6408,0.6408,0.6383,0.6389,806724
1748893500000,0.6389,0.6424,0.6382,0.6424,674916
1748894400000,0.6424,0.6481,0.6424,0.648,1325914
1748895300000,0.648,0.6493,0.6465,0.6482,1182568
1748896200000,0.6483,0.649,0.6458,0.6477,639491
1748897100000,0.6476,0.6478,0.6452,0.6465,635442
1748898000000,0.6465,0.6469,0.645,0.6466,582936
1748898900000,0.6467,0.6467,0.6442,0.6459,337588
1748899800000,0.6459,0.6467,0.6444,0.6446,346928
1748900700000,0.6446,0.6483,0.6441,0.6477,299850
1748901600000,0.6477,0.6497,0.6477,0.6488,470073
1748902500000,0.6487,0.6488,0.6466,0.6487,555771
1748903400000,0.6488,0.6492,0.6459,0.6464,514626
1748904300000,0.6464,0.6483,0.6464,0.6471,261519
1748905200000,0.6472,0.6477,0.6451,0.6454,588657
1748906100000,0.6454,0.646,0.6446,0.6454,518402
1748907000000,0.6454,0.6486,0.6446,0.6484,609470
1748907900000,0.6484,0.6534,0.6458,0.6482,3217907
1748908800000,0.6481,0.6492,0.6445,0.649,715346
1748909700000,0.649,0.6512,0.649,0.6496,739394
1748910600000,0.6496,0.6509,0.6487,0.6492,790954
1748911500000,0.6492,0.6505,0.6478,0.649,553074
1748912400000,0.649,0.6518,0.648,0.65,507631
1748913300000,0.65,0.6524,0.6495,0.6516,458900
1748914200000,0.6516,0.6539,0.6499,0.6523,1120772
1748915100000,0.6524,0.6531,0.6512,0.6525,626081
1748916000000,0.6525,0.659,0.6525,0.6545,2518327
1748916900000,0.6545,0.6571,0.6492,0.6503,2125461
1748917800000,0.6501,0.6515,0.649,0.6493,855095
1748918700000,0.6493,0.6497,0.6458,0.6471,1445202
1748919600000,0.6472,0.6474,0.6447,0.6466,1219098
1748920500000,0.6466,0.6475,0.6452,0.6453,791651
1748921400000,0.6454,0.6474,0.6445,0.6469,619770
1748922300000,0.6469,0.649,0.6469,0.6473,721107
1748923200000,0.6472,0.6476,0.6449,0.6463,924674
1748924100000,0.6462,0.6474,0.6455,0.6464,632970
1748925000000,0.6464,0.6472,0.645,0.6459,413651
1748925900000,0.6459,0.6464,0.6416,0.6441,1963627
1748926800000,0.6441,0.6455,0.6425,0.6453,731076
1748927700000,0.6454,0.6464,0.644,0.6451,338045
1748928600000,0.6451,0.6461,0.6444,0.6446,399878
1748929500000,0.6447,0.6462,0.6442,0.6458,655768
1748930400000,0.6459,0.6462,0.6447,0.6451,582144
1748931300000,0.645,0.6454,0.6432,0.6436,639461
1748932200000,0.6435,0.645,0.6426,0.6442,562952
1748933100000,0.6441,0.6451,0.6435,0.6451,536988
1748934000000,0.6451,0.6455,0.644,0.6445,462950
1748934900000,0.6445,0.6455,0.6428,0.6434,825961
1748935800000,0.6433,0.6442,0.643,0.6435,427109
1748936700000,0.6435,0.644,0.6423,0.6426,636770
1748937600000,0.6426,0.6435,0.6403,0.6409,1395333
1748938500000,0.6409,0.642,0.64,0.6412,1556229
1748939400000,0.6412,0.6421,0.64,0.6413,908353
1748940300000,0.6414,0.6432,0.6407,0.6426,887685
1748941200000,0.6426,0.645,0.6418,0.6438,1092855
1748942100000,0.6438,0.6464,0.6435,0.6449,1251384
1748943000000,0.645,0.6466,0.6442,0.646,706599
1748943900000,0.6459,0.6459,0.6446,0.6447,393628
1748944800000,0.6448,0.6456,0.6437,0.6456,587941
1748945700000,0.6456,0.6457,0.6442,0.6448,270846
1748946600000,0.6448,0.6474,0.6447,0.6472,535424
1748947500000,0.6472,0.6485,0.6466,0.6471,789572
1748948400000,0.6471,0.6495,0.6471,0.649,693497
1748949300000,0.649,0.649,0.6468,0.6479,616588
1748950200000,0.6479,0.6498,0.6471,0.6493,680514
1748951100000,0.6494,0.6514,0.6482,0.6502,981003
1748952000000,0.6501,0.6509,0.648,0.6508,996864
1748952900000,0.6508,0.6517,0.6492,0.6502,1297944
1748953800000,0.6502,0.6503,0.6483,0.6488,1151789
1748954700000,0.6488,0.6493,0.648,0.6491,997489
1748955600000,0.6491,0.6499,0.6487,0.6497,762109
1748956500000,0.6498,0.6511,0.6498,0.6509,749206
1748957400000,0.6509,0.652,0.6474,0.6518,1364371
1748958300000,0.6518,0.6529,0.6495,0.6519,1188354
1748959200000,0.6519,0.6536,0.6504,0.6525,1338235
1748960100000,0.6526,0.655,0.6522,0.654,1227256
1748961000000,0.6538,0.6539,0.6522,0.6538,685602
1748961900000,0.6537,0.6549,0.6526,0.6548,798849
1748962800000,0.6547,0.6553,0.6523,0.6525,1015338
1748963700000,0.6525,0.6538,0.6512,0.6536,889926
1748964600000,0.6537,0.6539,0.6512,0.6533,748552
1748965500000,0.6532,0.6532,0.65,0.6503,903236
1748966400000,0.6503,0.6509,0.648,0.6498,1177647
1748967300000,0.6499,0.6524,0.6499,0.6509,732505
1748968200000,0.6509,0.653,0.6509,0.6525,323534
1748969100000,0.6525,0.6526,0.6504,0.6512,582498
1748970000000,0.6511,0.6534,0.6507,0.6525,458506
1748970900000,0.6527,0.6537,0.6522,0.6524,334680
1748971800000,0.6524,0.6532,0.6513,0.6524,418635
1748972700000,0.6525,0.6525,0.6512,0.652,221634
1748973600000,0.6519,0.6519,0.6504,0.6509,282869
1748974500000,0.651,0.6523,0.6505,0.651,259018
1748975400000,0.651,0.653,0.651,0.6529,219776
1748976300000,0.6529,0.6546,0.6527,0.6544,604629
1748977200000,0.6544,0.6562,0.6541,0.6543,521759
1748978100000,0.6543,0.6554,0.654,0.6549,182185
1748979000000,0.6548,0.6549,0.6531,0.6541,215342
1748979900000,0.6541,0.6543,0.6527,0.6538,235389
1748980800000,0.6538,0.6542,0.6525,0.6525,200074
1748981700000,0.6526,0.6527,0.6491,0.6495,741568
1748982600000,0.6496,0.6514,0.6481,0.6506,694597
1748983500000,0.6507,0.6517,0.6489,0.6495,626734
1748984400000,0.6496,0.6501,0.6467,0.6478,946248
1748985300000,0.6478,0.648,0.6451,0.6468,764576
1748986200000,0.6467,0.6485,0.6458,0.6459,785842
1748987100000,0.6459,0.6473,0.6441,0.6456,1075918
1748988000000,0.6455,0.6491,0.6449,0.6477,1506593
1748988900000,0.6477,0.6498,0.6468,0.6482,1510744
1748989800000,0.6481,0.6506,0.648,0.6498,1125548
1748990700000,0.6499,0.65,0.6487,0.6493,792082
1748991600000,0.6493,0.6504,0.6491,0.6501,658599
1748992500000,0.65,0.6501,0.6464,0.6488,1250104
1748993400000,0.6486,0.6487,0.647,0.6475,782567
1748994300000,0.6476,0.648,0.6459,0.6464,868817
1748995200000,0.6465,0.6492,0.6465,0.648,1205764
1748996100000,0.648,0.649,0.6464,0.6465,518478
1748997000000,0.6466,0.6469,0.6448,0.645,842057
1748997900000,0.645,0.6471,0.6449,0.6466,424322
1748998800000,0.6466,0.649,0.6462,0.6481,588778
1748999700000,0.648,0.6506,0.6477,0.6495,841615
1749000600000,0.6496,0.6497,0.6478,0.6488,336051
