ts,open,high,low,close,volume
1766225400000,12.309,12.318,12.306,12.307,4973.4
1766225700000,12.307,12.308,12.292,12.294,8863.2
1766226000000,12.295,12.298,12.284,12.287,6093.7
1766226300000,12.287,12.297,12.274,12.279,5651.5
1766226600000,12.28,12.283,12.258,12.262,8136.9
1766226900000,12.262,12.263,12.247,12.256,21652.9
1766227200000,12.256,12.274,12.253,12.274,2968.4
1766227500000,12.274,12.274,12.26,12.261,1897.2
1766227800000,12.26,12.261,12.252,12.261,1909.9
1766228100000,12.261,12.261,12.252,12.254,1772.1
1766228400000,12.254,12.255,12.244,12.245,1575.6
1766228700000,12.245,12.246,12.24,12.245,3263.8
1766229000000,12.244,12.256,12.241,12.256,7882.6
1766229300000,12.256,12.26,12.255,12.259,2260.2
1766229600000,12.258,12.288,12.255,12.281,7589.3
1766229900000,12.28,12.296,12.274,12.29,3713.2
1766230200000,12.289,12.296,12.277,12.28,2999.6
1766230500000,12.28,12.291,12.28,12.291,1955
1766230800000,12.292,12.296,12.285,12.291,2282.7
1766231100000,12.291,12.302,12.288,12.297,1590.5
1766231400000,12.297,12.308,12.289,12.298,3585
1766231700000,12.298,12.307,12.298,12.305,712.6
1766232000000,12.305,12.305,12.29,12.296,2555.6
1766232300000,12.296,12.308,12.294,12.305,3768.1
1766232600000,12.305,12.305,12.284,12.288,5640.5
1766232900000,12.288,12.288,12.277,12.279,3391.7
1766233200000,12.28,12.28,12.269,12.276,1908.9
1766233500000,12.276,12.277,12.274,12.275,635.3
1766233800000,12.275,12.275,12.268,12.268,978.8
1766234100000,12.268,12.275,12.266,12.272,1848.7
1766234400000,12.271,12.271,12.267,12.269,882.9
1766234700000,12.269,12.276,12.269,12.276,848.2
1766235000000,12.276,12.277,12.273,12.277,3899.9
1766235300000,12.277,12.278,12.272,12.272,511.5
1766235600000,12.272,12.288,12.267,12.288,3303
1766235900000,12.288,12.295,12.241,12.247,18401.2
1766236200000,12.248,12.257,12.236,12.239,6290.1
1766236500000,12.239,12.24,12.224,12.224,9624.1
1766236800000,12.224,12.247,12.189,12.219,35214
1766237100000,12.22,12.227,12.211,12.214,5858.2
1766237400000,12.214,12.222,12.207,12.22,2683.6
1766237700000,12.22,12.235,12.215,12.235,5163.6
1766238000000,12.236,12.237,12.229,12.233,2345.7
1766238300000,12.233,12.247,12.233,12.242,1919.6
1766238600000,12.243,12.252,12.238,12.241,2480.5
1766238900000,12.241,12.244,12.241,12.242,1912.5
1766239200000,12.243,12.243,12.199,12.2,2255.1
1766239500000,12.2,12.2,12.16,12.174,24401
1766239800000,12.173,12.179,12.169,12.171,8038.3
1766240100000,12.17,12.185,12.167,12.181,4395
1766240400000,12.18,12.19,12.18,12.185,5683.2
1766240700000,12.185,12.19,12.181,12.188,1682.9
1766241000000,12.187,12.195,12.185,12.191,3535.6
1766241300000,12.191,12.206,12.182,12.202,3702
1766241600000,12.202,12.227,12.189,12.227,10463.3
1766241900000,12.227,12.248,12.225,12.241,9117.4
1766242200000,12.241,12.272,12.24,12.267,29084
1766242500000,12.268,12.268,12.261,12.264,3235.8
1766242800000,12.264,12.273,12.251,12.254,3660.4
1766243100000,12.254,12.264,12.249,12.251,3106
1766243400000,12.251,12.258,12.251,12.257,4277.8
1766243700000,12.257,12.26,12.207,12.207,14934.3
1766244000000,12.207,12.239,12.207,12.214,8187.5
1766244300000,12.214,12.243,12.214,12.243,22161.2
1766244600000,12.243,12.261,12.243,12.261,4836.9
1766244900000,12.261,12.267,12.25,12.252,3744.4
1766245200000,12.252,12.268,12.251,12.251,2570.7
1766245500000,12.251,12.259,12.25,12.259,1696.4
1766245800000,12.259,12.273,12.258,12.266,2739.5
1766246100000,12.266,12.27,12.261,12.268,4436.9
1766246400000,12.268,12.29,12.268,12.288,11085.4
1766246700000,12.288,12.296,12.275,12.296,8189.4
1766247000000,12.295,12.296,12.278,12.279,2466.7
1766247300000,12.279,12.288,12.273,12.282,6496.8
1766247600000,12.282,12.291,12.282,12.289,1485.2
1766247900000,12.289,12.295,12.283,12.283,3177.7
1766248200000,12.284,12.292,12.275,12.278,12051.4
1766248500000,12.279,12.284,12.267,12.274,3063.4
1766248800000,12.275,12.275,12.264,12.271,1839.8
1766249100000,12.272,12.288,12.271,12.281,1632.3
1766249400000,12.282,12.29,12.277,12.289,3146.9
1766249700000,12.289,12.291,12.287,12.291,1416
1766250000000,12.291,12.303,12.284,12.301,25523.8
1766250300000,12.302,12.307,12.273,12.273,4947.1
1766250600000,12.273,12.281,12.253,12.278,8878.1
1766250900000,12.279,12.289,12.278,12.283,3697.9
1766251200000,12.284,12.289,12.276,12.281,4473
1766251500000,12.281,12.283,12.269,12.272,11655.1
1766251800000,12.273,12.277,12.266,12.27,2356
1766252100000,12.271,12.271,12.257,12.259,1657.7
1766252400000,12.258,12.261,12.253,12.257,981.2
1766252700000,12.257,12.26,12.251,12.259,3306
1766253000000,12.26,12.261,12.249,12.252,2184.4
1766253300000,12.252,12.254,12.25,12.254,1286.3
1766253600000,12.254,12.263,12.245,12.245,7359.1
1766253900000,12.245,12.246,12.228,12.232,6440
1766254200000,12.232,12.236,12.226,12.232,3344.6
1766254500000,12.232,12.254,12.231,12.253,2947.6
1766254800000,12.252,12.252,12.245,12.245,1044.9
1766255100000,12.245,12.25,12.245,12.25,731.9
1766255400000,12.25,12.263,12.248,12.249,3802.4
1766255700000,12.249,12.25,12.242,12.242,1575
1766256000000,12.242,12.243,12.234,12.242,2680.2
1766256300000,12.242,12.243,12.237,12.237,861.7
1766256600000,12.238,12.247,12.237,12.246,368.2
1766256900000,12.246,12.276,12.246,12.26,7759.7
1766257200000,12.26,12.265,12.244,12.248,3983.8
1766257500000,12.248,12.26,12.246,12.259,1700.6
1766257800000,12.26,12.274,12.259,12.272,792
1766258100000,12.273,12.273,12.253,12.257,1951
1766258400000,12.257,12.258,12.245,12.249,3741.8
1766258700000,12.249,12.258,12.245,12.256,2737
1766259000000,12.257,12.257,12.249,12.253,953.9
1766259300000,12.253,12.256,12.245,12.246,1846.2
1766259600000,12.246,12.248,12.246,12.248,1031.7
1766259900000,12.248,12.261,12.24,12.256,7113
1766260200000,12.255,12.264,12.255,12.262,1007
1766260500000,12.261,12.263,12.258,12.258,360.8
1766260800000,12.259,12.259,12.248,12.248,4404.4
1766261100000,12.248,12.251,12.246,12.249,1687.7
1766261400000,12.25,12.254,12.245,12.249,1225
1766261700000,12.249,12.26,12.247,12.259,3325.8
1766262000000,12.259,12.259,12.25,12.25,846.9
1766262300000,12.251,12.257,12.249,12.249,2942.9
1766262600000,12.25,12.26,12.249,12.259,4178.5
1766262900000,12.259,12.277,12.253,12.259,11246.5
1766263200000,12.258,12.261,12.258,12.258,1313
1766263500000,12.258,12.26,12.251,12.258,8078.6
1766263800000,12.258,12.259,12.254,12.258,3651.6
1766264100000,12.259,12.268,12.259,12.267,2043.7
1766264400000,12.268,12.275,12.261,12.265,15871.3
1766264700000,12.265,12.268,12.244,12.258,9314.9
1766265000000,12.259,12.259,12.241,12.243,10469.9
1766265300000,12.244,12.265,12.242,12.265,10371.4
1766265600000,12.266,12.27,12.239,12.245,5886.5
1766265900000,12.246,12.246,12.239,12.244,4374
1766266200000,12.244,12.253,12.244,12.253,3861.1
1766266500000,12.253,12.255,12.243,12.248,3420.8
1766266800000,12.248,12.248,12.236,12.236,3355.9
1766267100000,12.236,12.237,12.211,12.222,15766.6
1766267400000,12.223,12.223,12.212,12.212,4215.1
1766267700000,12.212,12.214,12.201,12.206,8696.8
1766268000000,12.206,12.213,12.197,12.197,9638.9
1766268300000,12.197,12.198,12.178,12.185,14261.1
1766268600000,12.186,12.186,12.167,12.182,14877.6
1766268900000,12.182,12.187,12.174,12.174,8696.3
1766269200000,12.175,12.175,12.137,12.158,21845
1766269500000,12.158,12.172,12.158,12.167,7907.1
1766269800000,12.168,12.172,12.158,12.159,9874.6
1766270100000,12.16,12.169,12.152,12.166,10712.7
1766270400000,12.165,12.176,12.164,12.167,6740.7
1766270700000,12.168,12.168,12.152,12.155,6187.4
1766271000000,12.156,12.182,12.155,12.179,10466.3
