ts,open,high,low,close,volume
1748875500000,0.6707,0.672,0.6681,0.672,8368.6
1748876400000,0.672,0.6727,0.6681,0.6712,5326.6
1748877300000,0.6711,0.6756,0.6695,0.6728,14508.1
1748878200000,0.673,0.6735,0.6715,0.6734,4307.1
1748879100000,0.6733,0.675,0.6722,0.6737,5462.1
1748880000000,0.6739,0.6743,0.671,0.6717,7589.7
1748880900000,0.6718,0.673,0.669,0.6701,6993.9
1748881800000,0.67,0.6717,0.6689,0.6704,4438.8
1748882700000,0.6705,0.6743,0.6702,0.6733,10625.7
1748883600000,0.6734,0.675,0.6709,0.6713,6905
1748884500000,0.6714,0.6759,0.6709,0.6741,11836.2
1748885400000,0.6742,0.6744,0.6705,0.671,10031.1
1748886300000,0.671,0.674,0.6706,0.6737,4676
1748887200000,0.6736,0.675,0.6729,0.6741,4579.5
1748888100000,0.674,0.6793,0.6737,0.6774,12267.5
1748889000000,0.6773,0.678,0.6751,0.6758,12842.3
1748889900000,0.6758,0.6759,0.6731,0.6742,9148.3
1748890800000,0.6743,0.678,0.6732,0.6733,9503.9
1748891700000,0.6732,0.6749,0.6727,0.6739,3960.3
1748892600000,0.6738,0.674,0.669,0.6699,9206.8
1748893500000,0.6699,0.673,0.6691,0.673,3730.9
1748894400000,0.673,0.6812,0.6729,0.6809,23247.3
1748895300000,0.681,0.6837,0.6807,0.6816,23095.9
1748896200000,0.6816,0.6825,0.6786,0.6808,7059.4
1748897100000,0.6808,0.6814,0.6784,0.6807,2919.7
1748898000000,0.6808,0.6862,0.6808,0.6841,20232.1
1748898900000,0.684,0.685,0.6811,0.6823,9811.5
1748899800000,0.6822,0.6837,0.68,0.6822,5358
1748900700000,0.6823,0.684,0.6822,0.6838,2622.6
1748901600000,0.6837,0.6902,0.6837,0.6887,33663
1748902500000,0.6887,0.6917,0.6876,0.6906,15779.9
1748903400000,0.6905,0.6909,0.687,0.6871,8390.4
1748904300000,0.6871,0.6877,0.6866,0.6876,6539.4
1748905200000,0.6876,0.6919,0.6874,0.6886,19165.1
1748906100000,0.6886,0.6907,0.6881,0.6901,12670.5
1748907000000,0.6901,0.6901,0.688,0.6897,6888.3
1748907900000,0.6896,0.69,0.6884,0.6892,8343.3
1748908800000,0.6893,0.6932,0.6873,0.693,19052.6
1748909700000,0.6929,0.6981,0.6928,0.6942,36983.2
1748910600000,0.6943,0.6973,0.6934,0.6968,10701.2
1748911500000,0.6968,0.6975,0.6949,0.6968,20813.9
1748912400000,0.6969,0.7014,0.6967,0.6969,26488.9
1748913300000,0.697,0.701,0.6959,0.7,13854
1748914200000,0.7,0.7012,0.6985,0.7002,9802.6
1748915100000,0.7003,0.7045,0.7001,0.7036,20198.4
1748916000000,0.7037,0.7069,0.7025,0.7032,26637.6
1748916900000,0.7031,0.7037,0.7006,0.7018,12777.6
1748917800000,0.7018,0.7035,0.7009,0.7018,8782.6
1748918700000,0.7017,0.7019,0.6974,0.6982,21565.1
1748919600000,0.6982,0.6992,0.6949,0.6956,21489.7
1748920500000,0.6956,0.6975,0.6931,0.6934,16594.8
1748921400000,0.6934,0.695,0.6917,0.6943,16172.7
1748922300000,0.6943,0.6953,0.6933,0.6935,9723.9
1748923200000,0.6935,0.6945,0.6911,0.6925,14979.4
1748924100000,0.6925,0.6928,0.6915,0.6917,4562.5
1748925000000,0.6917,0.6924,0.6899,0.6909,9397.2
1748925900000,0.691,0.6917,0.689,0.6901,8819
1748926800000,0.6902,0.6941,0.6902,0.6937,7975.8
1748927700000,0.6938,0.6946,0.6921,0.6932,5005.1
1748928600000,0.6932,0.6958,0.693,0.6946,5527.6
1748929500000,0.6946,0.6961,0.6941,0.6955,6840.5
1748930400000,0.6954,0.6955,0.6939,0.6941,5798.7
1748931300000,0.6941,0.6949,0.6928,0.6933,4891.9
1748932200000,0.6932,0.6958,0.6929,0.6953,3361.2
1748933100000,0.6953,0.6974,0.6953,0.6974,6522.3
1748934000000,0.6973,0.698,0.6962,0.6964,11324
1748934900000,0.6965,0.6974,0.6948,0.695,5996.9
1748935800000,0.695,0.6958,0.6939,0.694,6062.1
1748936700000,0.694,0.6947,0.6923,0.6927,10794.7
1748937600000,0.6928,0.694,0.6894,0.69,12282.8
1748938500000,0.69,0.6902,0.6882,0.6898,9855.3
1748939400000,0.6898,0.6909,0.6877,0.6891,6792.6
1748940300000,0.6891,0.692,0.6889,0.6914,3764.8
1748941200000,0.6913,0.6921,0.6899,0.6918,8380.2
1748942100000,0.6919,0.693,0.6915,0.6923,6246.1
1748943000000,0.6922,0.6953,0.6918,0.6947,9200.1
1748943900000,0.6946,0.6956,0.6938,0.6938,4170.7
1748944800000,0.6938,0.695,0.6915,0.695,10534.8
1748945700000,0.695,0.6951,0.6939,0.6949,4871.2
1748946600000,0.6948,0.6955,0.6934,0.6937,6639.5
1748947500000,0.6937,0.6947,0.6928,0.6938,3407.7
1748948400000,0.6939,0.6949,0.6926,0.6938,13499
1748949300000,0.6938,0.694,0.6906,0.6915,10334.3
1748950200000,0.6915,0.6921,0.6901,0.6916,6007.4
1748951100000,0.6916,0.6926,0.6904,0.6916,4009.7
1748952000000,0.6914,0.6918,0.6869,0.6903,23669.7
1748952900000,0.6903,0.6912,0.6886,0.6909,13165.9
1748953800000,0.6909,0.6915,0.6888,0.6903,7232.1
1748954700000,0.6902,0.6913,0.6893,0.6902,3408.3
1748955600000,0.6903,0.6915,0.6894,0.6912,8474.5
1748956500000,0.6912,0.6935,0.6912,0.6929,12480
1748957400000,0.6929,0.6939,0.6842,0.6906,43350.1
1748958300000,0.6906,0.6912,0.6866,0.6887,18825.4
1748959200000,0.6888,0.6912,0.6824,0.6838,43009.4
1748960100000,0.6837,0.6897,0.6836,0.6897,15539.4
1748961000000,0.6897,0.6937,0.6891,0.6937,30385.8
1748961900000,0.6937,0.6961,0.6913,0.6955,31361.3
1748962800000,0.6955,0.6966,0.6904,0.6916,23592
1748963700000,0.6916,0.6951,0.691,0.6941,12347.7
1748964600000,0.6942,0.6956,0.6917,0.6946,20998.6
1748965500000,0.6947,0.6948,0.6914,0.6929,15834.4
1748966400000,0.6928,0.6932,0.6885,0.6908,23445.1
1748967300000,0.6908,0.6911,0.6872,0.688,12811.9
1748968200000,0.6879,0.6906,0.6878,0.6896,11328.7
1748969100000,0.6896,0.6899,0.6851,0.686,21244
1748970000000,0.6861,0.6888,0.6852,0.6883,17876.4
1748970900000,0.6884,0.6913,0.6882,0.6909,11746.9
1748971800000,0.6909,0.691,0.6884,0.6897,8126.1
1748972700000,0.6898,0.6901,0.688,0.6887,2443
1748973600000,0.6887,0.6887,0.6845,0.6862,11867.2
1748974500000,0.6863,0.6879,0.6847,0.6879,8331
1748975400000,0.688,0.6886,0.6865,0.6885,6363
1748976300000,0.6884,0.6884,0.6863,0.6873,3609.4
1748977200000,0.6872,0.689,0.6864,0.6889,6566.5
1748978100000,0.6889,0.6923,0.6889,0.692,8647.2
1748979000000,0.6919,0.6919,0.6899,0.6904,5939.2
1748979900000,0.6905,0.6907,0.688,0.6907,7702.6
1748980800000,0.6906,0.6908,0.6866,0.6867,8298
1748981700000,0.6867,0.6868,0.6805,0.681,28489.6
1748982600000,0.6811,0.6854,0.6774,0.6839,36297.3
1748983500000,0.684,0.6852,0.6813,0.6821,7770.6
1748984400000,0.682,0.6848,0.6809,0.6817,19746.8
1748985300000,0.6816,0.6828,0.6794,0.6822,6308
1748986200000,0.6822,0.6827,0.679,0.6793,7037.5
1748987100000,0.6793,0.6806,0.6733,0.6769,18756.6
1748988000000,0.6769,0.6819,0.6763,0.6808,20987.3
1748988900000,0.6807,0.6832,0.6795,0.6831,6485.9
1748989800000,0.6831,0.6852,0.6822,0.6846,9747.4
1748990700000,0.6847,0.6864,0.6846,0.685,19507.3
1748991600000,0.6851,0.6871,0.6845,0.6867,8857.7
1748992500000,0.6867,0.6868,0.6841,0.6856,7967.8
1748993400000,0.6855,0.6866,0.6833,0.6844,8432.7
1748994300000,0.6844,0.6848,0.6825,0.6833,7638.5
