ts,open,high,low,close,volume
1751523300000,0.7926,0.8069,0.7926,0.802,78054
1751524200000,0.8029,0.8066,0.8008,0.8054,52824
1751525100000,0.8053,0.8122,0.8015,0.8046,51662
1751526000000,0.8041,0.805,0.795,0.7982,42459
1751526900000,0.7982,0.7983,0.787,0.793,27505
1751527800000,0.7929,0.7973,0.792,0.7966,13221
1751528700000,0.7954,0.7989,0.7924,0.7951,13188
1751529600000,0.7951,0.7994,0.7951,0.7979,10155
1751530500000,0.7979,0.8027,0.7967,0.8009,22517
1751531400000,0.8009,0.801,0.7977,0.8005,7528
1751532300000,0.8006,0.8014,0.7965,0.7975,5853
1751533200000,0.7976,0.8001,0.7936,0.7996,10923
1751534100000,0.7994,0.804,0.7977,0.8008,17497
1751535000000,0.8008,0.8054,0.7968,0.805,11725
1751535900000,0.8045,0.8052,0.7975,0.7986,5884
1751536800000,0.7987,0.8005,0.7908,0.7935,19432
1751537700000,0.7932,0.7935,0.7861,0.7912,16660
1751538600000,0.7914,0.7914,0.7876,0.7891,9147
1751539500000,0.7893,0.7928,0.7875,0.7921,6950
1751540400000,0.7918,0.7922,0.7868,0.7889,7477
1751541300000,0.7889,0.7917,0.7871,0.7875,4216
1751542200000,0.7875,0.7908,0.78,0.7874,17371
1751543100000,0.7876,0.788,0.7848,0.7876,8211
1751544000000,0.7865,0.7911,0.7859,0.7897,8119
1751544900000,0.7901,0.791,0.788,0.7891,5998
1751545800000,0.7893,0.7958,0.7747,0.7802,28940
1751546700000,0.7793,0.7827,0.777,0.7819,5226
1751547600000,0.7817,0.7839,0.7814,0.7825,5329
1751548500000,0.7832,0.7837,0.778,0.7781,8134
1751549400000,0.7786,0.7929,0.7786,0.7894,12095
1751550300000,0.7896,0.7969,0.7863,0.7933,17968
1751551200000,0.7936,0.7986,0.7897,0.7906,14018
1751552100000,0.7907,0.7922,0.7834,0.7838,7695
1751553000000,0.7839,0.7841,0.7767,0.7773,13637
1751553900000,0.7773,0.7773,0.773,0.7754,10167
1751554800000,0.7749,0.7761,0.7675,0.7704,24167
1751555700000,0.7701,0.7753,0.7695,0.7736,8083
1751556600000,0.7731,0.7736,0.7674,0.7692,10078
1751557500000,0.769,0.7698,0.7549,0.7664,27281
1751558400000,0.7668,0.771,0.7621,0.7684,18720
1751559300000,0.768,0.7686,0.7641,0.7663,17916
1751560200000,0.7661,0.7717,0.7661,0.7714,7874
1751561100000,0.7714,0.7763,0.77,0.7712,20359
1751562000000,0.7714,0.7798,0.7714,0.7758,7654
1751562900000,0.7758,0.7763,0.7726,0.7726,2975
1751563800000,0.7728,0.7733,0.7694,0.7723,8123
1751564700000,0.7719,0.7723,0.7701,0.7707,4728
1751565600000,0.7705,0.7746,0.7705,0.7715,3880
1751566500000,0.7715,0.7734,0.768,0.7733,4116
1751567400000,0.7733,0.7743,0.7715,0.7735,2986
1751568300000,0.7733,0.7744,0.7722,0.7744,1952
1751569200000,0.7741,0.7772,0.7733,0.7755,7369
1751570100000,0.7753,0.7767,0.7747,0.7762,2868
1751571000000,0.7762,0.7769,0.774,0.7759,3150
1751571900000,0.7759,0.7779,0.7748,0.7764,3424
1751572800000,0.7765,0.7778,0.773,0.7749,4603
1751573700000,0.7756,0.7798,0.7753,0.7781,4570
1751574600000,0.7781,0.7811,0.7776,0.7802,5044
1751575500000,0.78,0.7813,0.7779,0.7811,2322
1751576400000,0.781,0.782,0.7767,0.7774,4671
1751577300000,0.7774,0.7774,0.7728,0.7754,5380
1751578200000,0.7751,0.7751,0.773,0.7736,2191
1751579100000,0.7746,0.779,0.7746,0.778,2841
1751580000000,0.778,0.784,0.7766,0.7793,15147
1751580900000,0.7792,0.7806,0.7785,0.7798,2679
1751581800000,0.7797,0.7823,0.7762,0.7779,5583
1751582700000,0.778,0.7815,0.7779,0.7802,4871
1751583600000,0.7798,0.7822,0.7775,0.7784,4607
1751584500000,0.7784,0.7794,0.7752,0.7761,5786
1751585400000,0.7762,0.7783,0.7727,0.7757,7956
1751586300000,0.7757,0.7763,0.7743,0.7743,3670
1751587200000,0.7745,0.7762,0.7732,0.7755,3799
1751588100000,0.7754,0.7761,0.7714,0.7739,4615
1751589000000,0.774,0.7795,0.774,0.7779,6222
1751589900000,0.7776,0.7788,0.7723,0.7746,5039
1751590800000,0.7742,0.779,0.7742,0.778,4926
1751591700000,0.7779,0.7814,0.776,0.7773,9840
1751592600000,0.7774,0.7796,0.7762,0.7768,6769
1751593500000,0.7767,0.7779,0.7739,0.7739,4440
1751594400000,0.7744,0.775,0.7708,0.7723,8224
1751595300000,0.7721,0.7741,0.7701,0.7729,5547
1751596200000,0.7728,0.7731,0.7666,0.7671,6010
1751597100000,0.767,0.7696,0.766,0.7677,5384
1751598000000,0.7678,0.7714,0.7672,0.7706,4849
1751598900000,0.7706,0.774,0.7706,0.7727,4688
1751599800000,0.773,0.7732,0.7703,0.7712,3201
1751600700000,0.771,0.771,0.7682,0.7685,2250
1751601600000,0.7683,0.7737,0.768,0.7725,3873
1751602500000,0.7724,0.7733,0.7693,0.7693,3081
1751603400000,0.7696,0.77,0.7655,0.7663,4696
1751604300000,0.766,0.767,0.7634,0.7659,5623
1751605200000,0.7659,0.7695,0.7654,0.768,5817
1751606100000,0.7678,0.7684,0.766,0.7676,3946
1751607000000,0.7677,0.7719,0.7677,0.7702,4709
1751607900000,0.7701,0.7701,0.769,0.7693,7651
1751608800000,0.7693,0.7701,0.7617,0.7623,17165
1751609700000,0.7626,0.7642,0.76,0.7615,6781
1751610600000,0.7617,0.7658,0.7613,0.7623,6589
1751611500000,0.7623,0.7634,0.7613,0.7621,1610
1751612400000,0.7621,0.7628,0.7562,0.7569,14458
1751613300000,0.757,0.7579,0.7513,0.7518,10536
1751614200000,0.7525,0.756,0.7519,0.754,8479
1751615100000,0.7546,0.7555,0.7482,0.7522,7523
1751616000000,0.7521,0.7521,0.7461,0.7471,10119
1751616900000,0.747,0.7532,0.7436,0.7527,9348
1751617800000,0.7525,0.7568,0.7518,0.7555,6510
1751618700000,0.7555,0.7557,0.7525,0.7557,3814
1751619600000,0.7551,0.7563,0.752,0.7556,3372
1751620500000,0.7556,0.761,0.7556,0.7584,9185
1751621400000,0.7585,0.7602,0.7563,0.7593,3043
1751622300000,0.7592,0.7592,0.7552,0.7566,3078
1751623200000,0.7566,0.7574,0.7554,0.7562,3426
1751624100000,0.7564,0.7567,0.7541,0.7551,5107
1751625000000,0.7551,0.7565,0.7531,0.7533,3510
1751625900000,0.7531,0.754,0.7502,0.7502,2735
1751626800000,0.7502,0.7533,0.7492,0.7514,4696
1751627700000,0.7516,0.7541,0.7504,0.7532,3147
1751628600000,0.7531,0.7539,0.7508,0.7528,3439
1751629500000,0.7528,0.7533,0.7493,0.7504,2941
1751630400000,0.7504,0.7515,0.748,0.7501,3858
1751631300000,0.75,0.7534,0.7497,0.7534,4135
1751632200000,0.7528,0.754,0.7488,0.7489,5656
1751633100000,0.7489,0.7505,0.7473,0.7492,4974
1751634000000,0.7493,0.7539,0.7464,0.7467,8722
1751634900000,0.7471,0.7484,0.745,0.7458,8739
1751635800000,0.7456,0.747,0.7421,0.743,9859
1751636700000,0.743,0.744,0.738,0.7404,11898
1751637600000,0.7403,0.7409,0.7333,0.7372,19187
1751638500000,0.7367,0.7434,0.7336,0.7434,15620
1751639400000,0.743,0.7446,0.7397,0.7436,6996
1751640300000,0.7435,0.7435,0.7384,0.7412,8164
1751641200000,0.741,0.742,0.7372,0.7384,6415
1751642100000,0.7383,0.7406,0.734,0.7386,11526
1751643000000,0.7386,0.7403,0.7362,0.7381,7635
1751643900000,0.738,0.7419,0.7372,0.7408,7428
1751644800000,0.7407,0.741,0.7321,0.7326,11218
1751645700000,0.7325,0.7344,0.7278,0.7323,16768
1751646600000,0.7323,0.7365,0.7294,0.7333,8950
1751647500000,0.7332,0.7379,0.7328,0.7365,8959
1751648400000,0.7365,0.7395,0.7351,0.7382,8119
1751649300000,0.7382,0.7412,0.7375,0.7395,7996
1751650200000,0.7395,0.7428,0.7381,0.7418,5969
1751651100000,0.7416,0.7451,0.74,0.743,7683
1751652000000,0.7427,0.7427,0.7385,0.7397,7199
1751652900000,0.7394,0.7394,0.7357,0.737,3436
1751653800000,0.7371,0.7396,0.737,0.7385,3176
1751654700000,0.7386,0.7402,0.7375,0.7375,2977
1751655600000,0.7382,0.7399,0.7374,0.7394,3202
1751656500000,0.7394,0.7397,0.7347,0.7355,3180
1751657400000,0.7351,0.7371,0.7347,0.7369,1548
1751658300000,0.7367,0.7367,0.7353,0.7355,788
1751659200000,0.7354,0.7392,0.7334,0.7382,6891
1751660100000,0.7388,0.7417,0.7386,0.7404,2249
1751661000000,0.7408,0.7419,0.7404,0.7409,2053
1751661900000,0.741,0.7412,0.7377,0.7379,1423
1751662800000,0.7383,0.7418,0.7382,0.7416,1217
1751663700000,0.7411,0.7442,0.7397,0.7423,2582
1751664600000,0.7422,0.7462,0.7405,0.7408,3244
1751665500000,0.7409,0.745,0.7409,0.7444,2891
1751666400000,0.7442,0.746,0.7428,0.7454,3561
1751667300000,0.7453,0.7519,0.745,0.7475,6313
1751668200000,0.7475,0.7509,0.7471,0.7503,4875
1751669100000,0.7504,0.7531,0.7493,0.7521,5796
1751670000000,0.7523,0.7524,0.7489,0.7495,3335
1751670900000,0.7491,0.7491,0.7465,0.7481,4764
1751671800000,0.7479,0.7487,0.7453,0.7467,2016
1751672700000,0.7468,0.7508,0.7461,0.7495,5364
1751673600000,0.7494,0.7494,0.744,0.7463,4647
1751674500000,0.7464,0.7508,0.7464,0.7499,3035
1751675400000,0.7498,0.7501,0.7459,0.7487,2735
1751676300000,0.7484,0.7494,0.747,0.7485,3010
1751677200000,0.7484,0.7484,0.7454,0.7457,2423
1751678100000,0.7457,0.7463,0.7435,0.7435,3862
1751679000000,0.7439,0.7468,0.7439,0.7452,2463
1751679900000,0.7453,0.7471,0.7448,0.7467,1287
1751680800000,0.7468,0.7473,0.7456,0.746,2041
1751681700000,0.7459,0.748,0.7457,0.7463,2118
1751682600000,0.7463,0.747,0.7424,0.7459,5888
1751683500000,0.7461,0.7483,0.7458,0.7483,3008
1751684400000,0.7479,0.752,0.7479,0.75,3782
1751685300000,0.75,0.7567,0.75,0.7547,13815
1751686200000,0.7551,0.7584,0.755,0.7558,7749
1751687100000,0.7558,0.7573,0.7544,0.7569,3749
1751688000000,0.7572,0.7574,0.7492,0.7518,17826
1751688900000,0.7517,0.7558,0.7515,0.7558,4141
1751689800000,0.7559,0.7566,0.7525,0.7528,5157
1751690700000,0.7529,0.7529,0.7492,0.7494,5399
1751691600000,0.7497,0.7498,0.7479,0.7482,3393
1751692500000,0.7483,0.7521,0.7477,0.7518,4602
1751693400000,0.7519,0.7525,0.7505,0.7514,1972
1751694300000,0.7514,0.7542,0.7514,0.7538,4362
1751695200000,0.7537,0.7559,0.7527,0.7547,8283
1751696100000,0.7547,0.7571,0.7546,0.7562,2404
1751697000000,0.7562,0.7573,0.7541,0.7543,3252
1751697900000,0.7543,0.7575,0.7543,0.757,1810
1751698800000,0.7573,0.7585,0.7549,0.7557,2404
1751699700000,0.7557,0.7566,0.754,0.7561,1445
1751700600000,0.7562,0.7562,0.7532,0.7532,2344
1751701500000,0.7533,0.7536,0.7513,0.7527,2262
1751702400000,0.7528,0.7545,0.752,0.7544,630
1751703300000,0.7544,0.7556,0.7522,0.7528,3305
1751704200000,0.7527,0.7527,0.7465,0.7486,6297
1751705100000,0.7488,0.7498,0.7471,0.7494,3763
1751706000000,0.7494,0.7494,0.7458,0.7465,2865
1751706900000,0.7465,0.7485,0.7444,0.7484,4186
1751707800000,0.7482,0.751,0.7478,0.748,2950
1751708700000,0.7482,0.7534,0.7482,0.751,7249
1751709600000,0.7509,0.7526,0.7509,0.7509,2409
1751710500000,0.7508,0.7531,0.7508,0.7511,4913
1751711400000,0.7511,0.7517,0.7497,0.75,2547
1751712300000,0.7501,0.7521,0.7501,0.7506,2102
1751713200000,0.7507,0.7519,0.7498,0.7501,3587
1751714100000,0.75,0.7518,0.7496,0.7515,2649
1751715000000,0.7514,0.7531,0.7508,0.7523,2162
1751715900000,0.7522,0.7522,0.7483,0.7488,3496
1751716800000,0.7487,0.7488,0.7457,0.7467,3700
1751717700000,0.7468,0.7476,0.7441,0.7461,7949
1751718600000,0.7459,0.748,0.7433,0.7479,6315
1751719500000,0.7479,0.7496,0.7464,0.747,6188
1751720400000,0.747,0.7488,0.7458,0.7467,3533
1751721300000,0.7468,0.7495,0.7463,0.7485,2418
1751722200000,0.7483,0.7483,0.7451,0.7468,1587
1751723100000,0.7469,0.7469,0.7423,0.7425,6880
1751724000000,0.7426,0.7437,0.738,0.7391,8159
1751724900000,0.7394,0.7408,0.7387,0.7393,4537
1751725800000,0.7392,0.7418,0.7373,0.7391,5077
1751726700000,0.7391,0.7403,0.7373,0.7403,2139
1751727600000,0.7403,0.7418,0.7397,0.741,2934
1751728500000,0.741,0.741,0.7368,0.7371,6049
1751729400000,0.7371,0.739,0.736,0.7365,4110
1751730300000,0.7367,0.7373,0.7347,0.7354,7448
1751731200000,0.7354,0.7387,0.7351,0.7384,9369
1751732100000,0.7382,0.739,0.7338,0.7347,6457
1751733000000,0.7347,0.735,0.7301,0.7322,9406
1751733900000,0.7325,0.735,0.7309,0.7346,3479
1751734800000,0.7347,0.7384,0.7335,0.7356,10266
1751735700000,0.7356,0.7356,0.7303,0.7327,6869
1751736600000,0.7326,0.7326,0.7305,0.7308,3555
