ts,open,high,low,close,volume
1758094200000,0.675,0.6989,0.675,0.6824,92961
1758095100000,0.6827,0.685,0.6811,0.6825,62710
1758096000000,0.6827,0.6926,0.6653,0.6782,249954
1758096900000,0.6783,0.6811,0.6773,0.68,64099
1758097800000,0.6799,0.6802,0.6772,0.6778,69729
1758098700000,0.6778,0.6803,0.6772,0.6786,51668
1758099600000,0.6786,0.6797,0.6771,0.6795,63381
1758100500000,0.6795,0.6806,0.6775,0.6791,128704
1758101400000,0.6794,0.6814,0.6774,0.6796,77900
1758102300000,0.6796,0.6809,0.6776,0.678,66160
1758103200000,0.6782,0.6837,0.6782,0.6812,92462
1758104100000,0.6814,0.682,0.678,0.6788,79502
1758105000000,0.6788,0.6805,0.6778,0.6796,63315
1758105900000,0.6793,0.6812,0.6783,0.6793,55532
1758106800000,0.6792,0.6799,0.6768,0.6799,48850
1758107700000,0.6798,0.68,0.6777,0.6799,44532
1758108600000,0.6798,0.6817,0.6794,0.681,31062
1758109500000,0.6808,0.6925,0.6808,0.6876,131541
1758110400000,0.6877,0.6929,0.6862,0.6904,141363
1758111300000,0.6903,0.6903,0.6842,0.6886,118314
1758112200000,0.6888,0.694,0.6872,0.6928,113406
1758113100000,0.6927,0.6962,0.6916,0.692,133921
1758114000000,0.6921,0.6948,0.6877,0.6884,125907
1758114900000,0.6883,0.6901,0.6864,0.687,140399
1758115800000,0.6869,0.6887,0.6834,0.6844,93245
1758116700000,0.6846,0.6898,0.6842,0.6875,63982
1758117600000,0.6875,0.6889,0.6854,0.6875,44840
1758118500000,0.6877,0.6881,0.6849,0.6858,29304
1758119400000,0.6859,0.6895,0.6848,0.6868,40941
1758120300000,0.6868,0.6894,0.6862,0.6876,69294
1758121200000,0.6875,0.6934,0.6871,0.6906,325077
1758122100000,0.6907,0.6921,0.6875,0.6881,136528
1758123000000,0.6881,0.6909,0.6868,0.6871,76541
1758123900000,0.6872,0.6904,0.6862,0.6887,69496
1758124800000,0.6887,0.6898,0.6856,0.6874,58418
1758125700000,0.6874,0.6876,0.6811,0.687,104422
1758126600000,0.6871,0.6896,0.6857,0.6863,32448
1758127500000,0.6861,0.6983,0.6845,0.6952,195461
1758128400000,0.6952,0.697,0.6932,0.6954,72072
1758129300000,0.6955,0.6968,0.6918,0.6922,53340
1758130200000,0.6923,0.7025,0.691,0.6975,96429
1758131100000,0.6975,0.7025,0.6865,0.687,99969
1758132000000,0.687,0.7102,0.6843,0.6944,232585
1758132900000,0.6944,0.7084,0.6909,0.7065,84599
1758133800000,0.7065,0.7072,0.6929,0.6931,75200
1758134700000,0.6935,0.6984,0.6904,0.6956,52974
1758135600000,0.6955,0.7065,0.6947,0.7005,69104
