ts,open,high,low,close,volume
1749808800000,0.82,0.854,0.82,0.8451,173167
1749809700000,0.8449,0.8453,0.835,0.8401,112144
1749810600000,0.8404,0.8482,0.8336,0.8437,77741
1749811500000,0.8433,0.8535,0.8421,0.8481,52518
1749812400000,0.8481,0.85,0.826,0.8333,111288
1749813300000,0.8333,0.8373,0.8168,0.8281,72359
1749814200000,0.8289,0.8492,0.8236,0.8411,52419
1749815100000,0.8401,0.8481,0.8356,0.8444,48810
1749816000000,0.8443,0.8499,0.8382,0.844,45506
1749816900000,0.8435,0.8499,0.841,0.8499,24658
1749817800000,0.8489,0.8664,0.8439,0.8514,105675
1749818700000,0.8508,0.8565,0.8492,0.855,35354
1749819600000,0.8547,0.8549,0.8411,0.8449,63298
1749820500000,0.8459,0.8539,0.8426,0.848,28755
1749821400000,0.8484,0.8533,0.8371,0.8505,43055
1749822300000,0.8514,0.8534,0.8424,0.846,25662
1749823200000,0.8462,0.8509,0.8422,0.8427,24904
1749824100000,0.8422,0.8435,0.8378,0.8433,24123
1749825000000,0.8433,0.857,0.842,0.8504,31256
1749825900000,0.8508,0.8543,0.8444,0.8533,20998
1749826800000,0.8533,0.8644,0.8493,0.8603,56494
1749827700000,0.8603,0.8649,0.853,0.859,48447
1749828600000,0.8589,0.8643,0.858,0.8625,40823
1749829500000,0.8625,0.8648,0.851,0.8551,44622
1749830400000,0.8552,0.8637,0.8473,0.8607,49453
1749831300000,0.8607,0.8624,0.8504,0.8537,34225
1749832200000,0.8536,0.8538,0.8416,0.8495,40611
1749833100000,0.8488,0.851,0.843,0.8473,22343
1749834000000,0.8475,0.8535,0.8428,0.849,22204
1749834900000,0.849,0.855,0.845,0.8534,17692
1749835800000,0.8533,0.8593,0.8493,0.8576,16541
1749836700000,0.8576,0.873,0.8545,0.8695,48078
1749837600000,0.8695,0.8717,0.8626,0.8632,29728
1749838500000,0.8632,0.8699,0.8616,0.8664,24453
1749839400000,0.8663,0.8664,0.8508,0.8558,36621
1749840300000,0.8564,0.8644,0.8554,0.8586,16473
1749841200000,0.8586,0.8673,0.8548,0.8618,18773
1749842100000,0.8617,0.8637,0.8563,0.8616,13275
1749843000000,0.8613,0.8626,0.853,0.8572,11381
1749843900000,0.8572,0.8603,0.8533,0.8587,12874
1749844800000,0.8587,0.8601,0.8532,0.8541,11626
1749845700000,0.8542,0.8624,0.8538,0.8621,12070
