ts,open,high,low,close,volume
1756735200000,0.05,0.05234,0.0473,0.04897,189782
1756736100000,0.04897,0.04906,0.04755,0.04837,152393
1756737000000,0.0484,0.04929,0.048,0.04891,103025
1756737900000,0.04886,0.0498,0.04833,0.04945,72115
1756738800000,0.04949,0.05129,0.04941,0.05128,158876
1756739700000,0.05122,0.05212,0.04962,0.05098,226113
1756740600000,0.05094,0.05113,0.04968,0.0505,88794
1756741500000,0.05046,0.0505,0.0485,0.04939,130226
1756742400000,0.04932,0.051,0.04788,0.04904,307274
1756743300000,0.04903,0.04904,0.04432,0.04587,337046
1756744200000,0.04581,0.04605,0.04432,0.04539,166622
1756745100000,0.04536,0.04585,0.0445,0.04524,130387
1756746000000,0.04524,0.0455,0.04319,0.0438,133090
1756746900000,0.04386,0.04415,0.04194,0.04334,161481
1756747800000,0.04332,0.04378,0.04252,0.04296,92259
1756748700000,0.04296,0.04368,0.04264,0.04278,92206
1756749600000,0.04275,0.0431,0.03959,0.04033,271901
1756750500000,0.04029,0.04183,0.03912,0.0411,217514
1756751400000,0.04115,0.042,0.04088,0.04115,131592
1756752300000,0.04116,0.04133,0.04006,0.04092,92362
1756753200000,0.04092,0.0417,0.04044,0.04125,65509
1756754100000,0.04125,0.04252,0.04043,0.04216,70180
1756755000000,0.04216,0.04346,0.04157,0.04285,149476
1756755900000,0.04292,0.04294,0.04203,0.04273,63582
1756756800000,0.0427,0.04284,0.04116,0.04162,60446
1756757700000,0.04153,0.04246,0.04152,0.04218,40746
1756758600000,0.04218,0.04248,0.0402,0.04061,70606
1756759500000,0.04067,0.04186,0.04063,0.04138,64890
1756760400000,0.04136,0.04264,0.04112,0.04204,59681
1756761300000,0.04198,0.042,0.04113,0.04164,47225
1756762200000,0.04167,0.04258,0.04121,0.04209,48574
1756763100000,0.04209,0.0422,0.0412,0.04125,43406
1756764000000,0.04128,0.0414,0.0388,0.04077,153825
1756764900000,0.04079,0.0419,0.04045,0.04104,76788
1756765800000,0.04098,0.04131,0.04051,0.04094,40997
1756766700000,0.04095,0.04239,0.04081,0.04212,56429
1756767600000,0.04211,0.04259,0.04092,0.042,59677
1756768500000,0.04201,0.04378,0.04167,0.04214,73688
1756769400000,0.04217,0.04282,0.04198,0.04272,41759
1756770300000,0.0427,0.0435,0.0403,0.04134,105834
1756771200000,0.04133,0.04245,0.041,0.04229,73170
1756772100000,0.04225,0.04297,0.04182,0.04185,84187
