ts,open,high,low,close,volume
1748967300000,7.956,7.987,7.943,7.949,575706
1748968200000,7.946,8.003,7.941,7.949,789479
1748969100000,7.948,7.948,7.875,7.896,1663939
1748970000000,7.897,7.926,7.886,7.891,590827
1748970900000,7.89,7.956,7.888,7.948,471382
1748971800000,7.948,7.97,7.923,7.95,514053
1748972700000,7.951,7.952,7.912,7.924,353219
1748973600000,7.925,7.937,7.889,7.923,385718
1748974500000,7.924,7.924,7.835,7.869,946665
1748975400000,7.87,7.903,7.869,7.901,291977
1748976300000,7.901,7.902,7.872,7.885,204963
1748977200000,7.884,7.927,7.88,7.901,280757
1748978100000,7.902,7.936,7.896,7.922,326073
1748979000000,7.92,7.923,7.896,7.901,314402
1748979900000,7.9,7.933,7.896,7.928,459414
1748980800000,7.927,7.927,7.902,7.92,235986
1748981700000,7.921,7.921,7.854,7.854,449549
1748982600000,7.857,7.925,7.814,7.919,874505
1748983500000,7.917,7.933,7.899,7.916,279587
1748984400000,7.916,7.935,7.877,7.918,454735
1748985300000,7.918,7.946,7.898,7.92,332351
1748986200000,7.918,7.935,7.87,7.882,362808
1748987100000,7.881,7.898,7.83,7.866,394898
1748988000000,7.867,7.918,7.846,7.918,321190
1748988900000,7.918,7.94,7.884,7.908,308067
1748989800000,7.908,7.923,7.874,7.875,302974
1748990700000,7.876,7.895,7.858,7.866,306224
1748991600000,7.866,7.898,7.853,7.891,415143
1748992500000,7.89,7.892,7.852,7.867,261013
1748993400000,7.867,7.867,7.834,7.864,458835
1748994300000,7.864,7.874,7.847,7.866,338658
1748995200000,7.866,7.892,7.833,7.848,604136
1748996100000,7.847,7.978,7.847,7.974,1221861
1748997000000,7.971,8.015,7.87,7.872,2507232
1748997900000,7.871,7.889,7.85,7.879,936921
1748998800000,7.879,7.929,7.87,7.916,615067
1748999700000,7.916,7.918,7.857,7.909,401574
1749000600000,7.907,7.964,7.897,7.93,880030
1749001500000,7.93,8.012,7.906,7.908,948616
1749002400000,7.911,7.994,7.905,7.948,547296
1749003300000,7.949,8.075,7.943,8.03,1125485
1749004200000,8.031,8.033,7.939,7.96,803275
1749005100000,7.96,7.967,7.906,7.927,394209
1749006000000,7.926,8.025,7.914,7.996,554511
1749006900000,7.999,8.012,7.965,7.995,602634
1749007800000,7.997,8.003,7.913,7.923,426747
1749008700000,7.924,7.924,7.892,7.911,672451
1749009600000,7.911,7.97,7.9,7.946,558373
1749010500000,7.947,7.953,7.895,7.918,321600
