ts,open,high,low,close,volume
1749057300000,0.2815,0.2815,0.2797,0.2798,2229
1749058200000,0.2796,0.2798,0.2789,0.2796,6242
1749059100000,0.2795,0.2801,0.2794,0.28,1655
1749060000000,0.2801,0.2808,0.28,0.2805,15154
1749060900000,0.2807,0.2815,0.2806,0.2814,1167
1749061800000,0.2815,0.2816,0.2806,0.2809,2326
1749062700000,0.2809,0.2813,0.28,0.2801,3653
1749063600000,0.2801,0.2802,0.2793,0.2794,4754
1749064500000,0.2794,0.2796,0.2787,0.2788,2715
1749065400000,0.2787,0.2793,0.2784,0.2788,3720
1749066300000,0.2789,0.2792,0.278,0.278,1458
1749067200000,0.278,0.2782,0.2763,0.2763,5302
1749068100000,0.2764,0.2765,0.2745,0.2761,17063
1749069000000,0.2762,0.2765,0.2756,0.2764,4531
1749069900000,0.2763,0.2763,0.2749,0.2755,5401
1749070800000,0.2754,0.2754,0.2738,0.2745,15978
1749071700000,0.2746,0.2751,0.2732,0.2749,16285
1749072600000,0.275,0.2769,0.275,0.2763,7413
1749073500000,0.2765,0.2778,0.2765,0.2771,4722
1749074400000,0.2769,0.2779,0.2767,0.2776,5449
1749075300000,0.2775,0.2781,0.2761,0.2765,3152
1749076200000,0.2763,0.2777,0.2762,0.2775,2290
1749077100000,0.2774,0.2774,0.276,0.2763,2491
1749078000000,0.2762,0.2771,0.2757,0.2757,7468
1749078900000,0.2757,0.2763,0.2752,0.2759,1300
1749079800000,0.2758,0.2766,0.2754,0.2766,1770
1749080700000,0.2765,0.2766,0.2753,0.2755,1364
1749081600000,0.2756,0.2759,0.2747,0.2747,5232
1749082500000,0.2747,0.2756,0.274,0.2755,6480
1749083400000,0.2754,0.2762,0.2754,0.2762,7466
1749084300000,0.276,0.2767,0.2754,0.2766,3174
1749085200000,0.2765,0.2777,0.2763,0.2772,5142
1749086100000,0.2773,0.2776,0.2759,0.2763,3336
1749087000000,0.2764,0.2764,0.2755,0.2757,2254
1749087900000,0.2756,0.2759,0.275,0.2755,2004
1749088800000,0.2756,0.2773,0.2756,0.2773,7359
1749089700000,0.2772,0.2773,0.2759,0.2759,2674
1749090600000,0.2759,0.278,0.2759,0.2773,7724
1749091500000,0.2774,0.2776,0.2762,0.2762,5759
1749092400000,0.2763,0.2763,0.2755,0.2761,8343
1749093300000,0.276,0.2769,0.2757,0.2765,1913
1749094200000,0.2765,0.2769,0.276,0.2763,5619
1749095100000,0.2763,0.2767,0.2758,0.2761,4395
1749096000000,0.2761,0.2762,0.2749,0.2758,3509
1749096900000,0.2759,0.2764,0.2755,0.2757,3792
1749097800000,0.2756,0.2763,0.2754,0.2763,2375
1749098700000,0.2761,0.2768,0.276,0.2765,1238
1749099600000,0.2765,0.2765,0.2753,0.2753,3029
1749100500000,0.2752,0.2756,0.274,0.274,4406
1749101400000,0.274,0.274,0.2719,0.2726,12000
1749102300000,0.2726,0.2731,0.2721,0.2728,12536
1749103200000,0.2729,0.2739,0.2727,0.2732,4610
1749104100000,0.2733,0.2744,0.2728,0.2744,5395
1749105000000,0.2743,0.2743,0.2723,0.2723,8268
1749105900000,0.2723,0.2728,0.272,0.2726,7183
1749106800000,0.2726,0.2756,0.2723,0.2752,18068
1749107700000,0.2753,0.2794,0.2753,0.2781,36938
1749108600000,0.278,0.278,0.2754,0.2755,12145
1749109500000,0.2755,0.2761,0.2751,0.2754,6806
1749110400000,0.2755,0.2761,0.2747,0.2749,10313
1749111300000,0.2748,0.2755,0.2741,0.2748,8572
1749112200000,0.2747,0.2758,0.2747,0.275,3939
1749113100000,0.2749,0.2758,0.2748,0.2753,7487
1749114000000,0.2753,0.2767,0.2753,0.2757,8553
1749114900000,0.2757,0.2761,0.2753,0.2754,1740
1749115800000,0.2754,0.2757,0.2748,0.2754,4421
1749116700000,0.2754,0.2756,0.275,0.2755,1075
1749117600000,0.2756,0.2756,0.2749,0.275,3448
1749118500000,0.275,0.2751,0.2734,0.2736,4090
1749119400000,0.2734,0.2746,0.2728,0.2733,11793
1749120300000,0.2733,0.2744,0.2728,0.2742,3112
1749121200000,0.2744,0.2746,0.2731,0.2733,7886
1749122100000,0.2733,0.2744,0.2729,0.2743,1369
1749123000000,0.2742,0.275,0.2742,0.2746,2027
1749123900000,0.2745,0.2752,0.2745,0.2751,1056
1749124800000,0.2752,0.2768,0.2748,0.2766,7193
1749125700000,0.2768,0.278,0.2767,0.2778,2165
1749126600000,0.2779,0.2784,0.2775,0.2783,3062
1749127500000,0.2783,0.2795,0.2779,0.2787,6706
1749128400000,0.2789,0.2792,0.2783,0.2786,13902
1749129300000,0.2787,0.2787,0.2775,0.2783,2831
1749130200000,0.2782,0.2786,0.276,0.2764,4980
1749131100000,0.2763,0.2765,0.2733,0.2737,14202
1749132000000,0.2736,0.2742,0.2728,0.274,5641
1749132900000,0.2742,0.2742,0.2706,0.2736,41983
1749133800000,0.2736,0.2756,0.2726,0.2753,9503
1749134700000,0.2752,0.2767,0.2746,0.2754,7769
1749135600000,0.2753,0.2757,0.2745,0.2745,3373
1749136500000,0.2745,0.2764,0.2739,0.2762,4572
1749137400000,0.2763,0.2765,0.2754,0.2761,3610
1749138300000,0.2762,0.2762,0.2748,0.275,1741
1749139200000,0.275,0.2751,0.2735,0.2735,6791
1749140100000,0.2735,0.2735,0.271,0.2713,21133
1749141000000,0.2712,0.2722,0.271,0.2712,14302
1749141900000,0.2711,0.2719,0.2703,0.2715,6327
1749142800000,0.2716,0.2726,0.2715,0.272,6751
