ts,open,high,low,close,volume
1773133200000,2.9594,3.2062,2.9594,3.0788,38378
1773134100000,3.079,3.0836,3.058,3.0709,13405
1773135000000,3.0703,3.1518,3.065,3.0779,28698
1773135900000,3.0779,3.0924,3.0756,3.0888,30948
1773136800000,3.0881,3.111,3.0854,3.1024,21535
1773137700000,3.1037,3.1218,3.103,3.1123,14006
1773138600000,3.1085,3.1395,3.1068,3.1395,47478
1773139500000,3.1421,3.1446,3.1235,3.1303,18697
1773140400000,3.1303,3.1377,3.0918,3.131,108185
1773141300000,3.1322,3.134,3.1162,3.1277,65656
1773142200000,3.1285,3.1311,3.1066,3.1138,45082
1773143100000,3.1124,3.1196,3.0858,3.1027,33517
1773144000000,3.1015,3.1059,3.0812,3.0874,46602
1773144900000,3.0837,3.0894,3.07,3.0815,26514
1773145800000,3.0813,3.0813,3.0352,3.0375,48204
1773146700000,3.039,3.0442,3.0196,3.0409,44636
1773147600000,3.0409,3.0777,3.0351,3.0654,59403
1773148500000,3.0651,3.0705,3.042,3.0443,26240
1773149400000,3.0427,3.0526,3.0286,3.0501,38488
1773150300000,3.0501,3.0581,3.0439,3.0498,15828
1773151200000,3.0508,3.0695,3.0485,3.0611,26200
1773152100000,3.0613,3.0729,3.0523,3.0695,25952
1773153000000,3.0715,3.0849,3.0392,3.0466,14464
1773153900000,3.0424,3.0516,3.0306,3.0488,8274
1773154800000,3.0477,3.0634,3.0432,3.0627,30639
1773155700000,3.0602,3.0602,3.0361,3.0384,19512
1773156600000,3.044,3.053,3.0283,3.0342,9362
1773157500000,3.036,3.0525,3.036,3.0382,4400
1773158400000,3.0385,3.0581,3.0385,3.0495,11348
1773159300000,3.0504,3.0624,3.0422,3.0483,5314
1773160200000,3.0485,3.0485,3.0269,3.0343,4588
1773161100000,3.0328,3.0437,3.0326,3.0326,4540
1773162000000,3.0337,3.0369,2.996,3.0039,17194
1773162900000,3.0047,3.0095,2.9738,2.979,33249
1773163800000,2.979,3.0153,2.979,3.0004,15204
1773164700000,2.9995,3.0072,2.9847,2.9971,16185
1773165600000,2.9964,3.0152,2.984,3.0124,21551
1773166500000,3.0146,3.0428,3.0128,3.0225,24102
1773167400000,3.0233,3.0453,3.0172,3.0453,9118
1773168300000,3.0449,3.0517,3.0419,3.044,5767
1773169200000,3.0429,3.0468,3.0362,3.0388,11125
1773170100000,3.0406,3.0582,3.0406,3.057,5303
1773171000000,3.057,3.0573,3.0402,3.0495,9839
1773171900000,3.0513,3.0617,3.0513,3.053,6016
1773172800000,3.0526,3.0706,3.0489,3.0674,9321
1773173700000,3.0674,3.07,3.0583,3.0583,1781
1773174600000,3.0583,3.0583,3.0498,3.0498,1813
1773175500000,3.0522,3.0636,3.0522,3.0636,12631
1773176400000,3.0634,3.0891,3.0613,3.0813,1515
1773177300000,3.0813,3.091,3.0707,3.0908,1515
1773178200000,3.0903,3.0903,3.0824,3.0863,1745
1773179100000,3.086,3.0928,3.0831,3.0888,5883
1773180000000,3.0912,3.0912,3.0598,3.0604,21598
1773180900000,3.0601,3.0619,3.0572,3.0604,4634
1773181800000,3.0619,3.068,3.0563,3.0599,7954
1773182700000,3.0619,3.0625,3.0539,3.0617,16936
1773183600000,3.06,3.0686,3.0582,3.0623,21195
1773184500000,3.0619,3.0691,3.0604,3.0671,12424
1773185400000,3.0661,3.0732,3.0611,3.0706,9260
1773186300000,3.0713,3.0742,3.0708,3.0724,6310
1773187200000,3.0729,3.0731,3.0522,3.0557,27141
1773188100000,3.0565,3.0566,3.0365,3.0476,38270
1773189000000,3.0463,3.0477,3.0407,3.0466,1357
1773189900000,3.0448,3.046,3.0423,3.045,2009
1773190800000,3.0448,3.0548,3.0424,3.0526,5933
1773191700000,3.052,3.052,3.0339,3.0369,3151
1773192600000,3.0363,3.0389,3.0296,3.0328,4594
1773193500000,3.0344,3.0431,3.0344,3.0431,14074
1773194400000,3.0431,3.0495,3.0361,3.0404,47541
1773195300000,3.0407,3.0442,3.0326,3.0326,4732
1773196200000,3.0325,3.0385,3.0324,3.0364,4205
1773197100000,3.0385,3.0407,3.0381,3.0407,3279
1773198000000,3.0415,3.0426,3.038,3.0388,1157
1773198900000,3.04,3.0408,3.0373,3.0401,4049
1773199800000,3.0371,3.0371,3.0328,3.0349,5412
1773200700000,3.0354,3.0384,3.0353,3.0354,417
1773201600000,3.0354,3.0381,3.0354,3.0381,1416
1773202500000,3.0385,3.0389,3.0355,3.0359,4971
1773203400000,3.0354,3.0475,3.0346,3.0472,13229
1773204300000,3.0464,3.0464,3.0375,3.0377,4984
1773205200000,3.0392,3.0515,3.0385,3.0505,5163
1773206100000,3.0516,3.0516,3.0438,3.0484,2485
1773207000000,3.0489,3.0601,3.048,3.0519,6665
1773207900000,3.0528,3.0575,3.0519,3.0571,6058
1773208800000,3.0556,3.0573,3.05,3.0563,7853
1773209700000,3.0566,3.0661,3.0525,3.0592,13312
1773210600000,3.0595,3.0601,3.0525,3.0566,8814
1773211500000,3.0548,3.0566,3.0539,3.0547,1467
1773212400000,3.0545,3.0695,3.0525,3.0654,16271
1773213300000,3.0645,3.0732,3.0593,3.0681,9522
1773214200000,3.0674,3.0792,3.066,3.076,5285
1773215100000,3.0751,3.0799,3.0706,3.071,4876
1773216000000,3.0689,3.071,3.0586,3.0639,1875
1773216900000,3.0645,3.0782,3.0645,3.0781,4803
1773217800000,3.079,3.0855,3.076,3.0805,5639
1773218700000,3.0813,3.0976,3.0796,3.0922,6204
1773219600000,3.0931,3.1191,3.0931,3.1093,14064
1773220500000,3.1065,3.1113,3.0972,3.106,6209
1773221400000,3.1056,3.1111,3.0994,3.1031,8852
1773222300000,3.1026,3.1026,3.0888,3.0923,10907
1773223200000,3.0935,3.0951,3.075,3.0795,20051
1773224100000,3.0778,3.0831,3.0728,3.0795,8903
1773225000000,3.0785,3.0813,3.0575,3.0646,5764
1773225900000,3.0619,3.0672,3.0563,3.0583,3904
1773226800000,3.06,3.0688,3.0565,3.0649,7318
1773227700000,3.062,3.0772,3.0583,3.0772,6322
1773228600000,3.0778,3.0968,3.0751,3.0968,9684
1773229500000,3.0972,3.1166,3.0954,3.111,24529
1773230400000,3.11,3.1144,3.0972,3.1053,7683
1773231300000,3.106,3.1242,3.1024,3.1193,10731
1773232200000,3.1207,3.1286,3.1166,3.1271,9924
1773233100000,3.1274,3.1379,3.1187,3.1201,3669
1773234000000,3.1202,3.128,3.1078,3.1141,18024
1773234900000,3.1148,3.1317,3.1148,3.129,10932
1773235800000,3.1295,3.13,3.0973,3.1123,32614
1773236700000,3.1123,3.1281,3.0945,3.1056,8645
1773237600000,3.1047,3.1113,3.085,3.1096,37396
1773238500000,3.1101,3.1269,3.1003,3.1266,26084
1773239400000,3.1267,3.134,3.1213,3.1222,8918
1773240300000,3.1223,3.1457,3.1212,3.1405,5086
1773241200000,3.1416,3.1647,3.1416,3.1577,38283
1773242100000,3.1597,3.1711,3.1583,3.163,4077
1773243000000,3.1623,3.1623,3.1521,3.1536,13355
1773243900000,3.1542,3.1657,3.1482,3.1657,17433
1773244800000,3.1647,3.1792,3.1539,3.1678,17769
1773245700000,3.1682,3.1741,3.1557,3.1642,11799
