ts,open,high,low,close,volume
1748971800000,44.58,45.05,44.32,44.36,448004
1748972700000,44.36,45.19,44.11,44.77,511495
1748973600000,44.76,44.86,44.21,44.77,474239
1748974500000,44.78,45.17,44.39,44.79,371305
1748975400000,44.8,44.81,44.39,44.64,272128
1748976300000,44.63,44.85,44.19,44.68,274078
1748977200000,44.68,45.39,44.64,45.24,346708
1748978100000,45.24,46.28,45.21,46.03,715362
1748979000000,46.03,46.11,45.16,45.31,354582
1748979900000,45.32,45.38,44.55,45.34,363852
1748980800000,45.34,45.98,44.3,44.68,806187
1748981700000,44.67,44.75,44.19,44.31,386902
1748982600000,44.31,45.37,44.18,45.15,334367
1748983500000,45.15,45.35,44.66,44.74,183145
1748984400000,44.75,44.76,43.69,43.89,296194
1748985300000,43.88,44.03,43.69,43.88,129531
1748986200000,43.89,43.95,43.33,43.85,133315
1748987100000,43.85,43.96,43.54,43.88,91022
1748988000000,43.89,44.79,43.84,44.74,211794
1748988900000,44.72,44.8,44.09,44.37,140954
1748989800000,44.38,44.48,44.15,44.36,107694
1748990700000,44.36,44.78,44.31,44.54,116830
1748991600000,44.54,45.07,44.38,45.03,127383
1748992500000,45.03,45.1,44.54,44.8,149609
1748993400000,44.8,44.82,44.25,44.47,151156
1748994300000,44.46,44.55,44.15,44.33,125290
1748995200000,44.33,44.51,44.11,44.21,202166
1748996100000,44.2,44.55,44.15,44.32,162911
1748997000000,44.33,44.82,44.2,44.51,240693
1748997900000,44.53,45.23,44.44,44.77,318694
1748998800000,44.77,45.81,44.63,45.76,318077
1748999700000,45.75,45.92,45.07,45.91,380942
1749000600000,45.9,46.75,45.73,46.7,1053795
1749001500000,46.7,47,46.19,46.44,895947
1749002400000,46.44,48,46.44,47.98,1185820
1749003300000,47.96,48.57,47.2,48.04,1398292
1749004200000,48.02,48.54,47.61,48.18,746545
1749005100000,48.17,48.44,47.7,48.38,718835
1749006000000,48.38,49.37,48.14,48.89,1432576
1749006900000,48.9,49.45,48.57,49.17,834209
1749007800000,49.18,49.93,48.77,49.09,1158615
1749008700000,49.09,50.51,49.02,50.48,1444531
1749009600000,50.47,51.65,49.67,50.2,2512641
1749010500000,50.21,50.98,49.89,50.59,894477
1749011400000,50.58,50.6,49.89,50.54,696086
1749012300000,50.54,51.82,50.05,51.62,1161104
1749013200000,51.64,52.27,51.33,51.39,1506696
1749014100000,51.38,51.75,50.83,50.99,1001937
1749015000000,50.99,51.03,50.06,50.59,1615479
1749015900000,50.6,50.92,50.3,50.76,493511
1749016800000,50.76,50.95,50.21,50.59,711207
1749017700000,50.59,50.65,49.15,49.9,1490566
1749018600000,49.89,51.12,49.78,51.07,1146480
1749019500000,51.07,51.41,50.9,51.06,717310
1749020400000,51.06,52.07,50.9,51.94,1630335
1749021300000,51.93,53.59,51.32,51.61,3624177
1749022200000,51.6,51.75,50.56,50.8,1795337
1749023100000,50.79,51.13,50.24,50.88,1106407
1749024000000,50.88,51.37,50.38,50.82,918071
1749024900000,50.82,51.35,50.78,51.12,565164
1749025800000,51.11,51.72,50.82,50.91,805091
1749026700000,50.9,51.39,50.57,51.27,541259
1749027600000,51.29,52.1,51.25,51.66,991032
1749028500000,51.67,51.96,51.4,51.64,532060
1749029400000,51.65,51.87,51.32,51.52,413077
1749030300000,51.53,52.5,51.53,51.82,732643
1749031200000,51.82,52.3,51.35,51.38,618107
1749032100000,51.38,51.95,51.27,51.72,432600
1749033000000,51.72,52.19,51.52,52.18,544901
1749033900000,52.2,52.49,52.02,52.26,522361
1749034800000,52.25,52.39,51.71,51.93,571180
1749035700000,51.93,51.96,51.53,51.86,473255
1749036600000,51.86,53.59,51.82,51.85,2040803
1749037500000,51.85,52.39,51.21,51.58,1486120
1749038400000,51.58,52.47,50.92,52.38,1558805
1749039300000,52.38,52.66,52.12,52.25,780259
1749040200000,52.25,52.67,52.05,52.58,852956
1749041100000,52.57,53.3,52.34,52.44,1017086
1749042000000,52.43,52.75,52.11,52.18,847860
1749042900000,52.19,52.74,51.95,52.24,739759
1749043800000,52.24,52.66,52.07,52.45,603109
1749044700000,52.45,52.87,52.12,52.31,643423
1749045600000,52.3,52.3,51.55,52.23,1439436
1749046500000,52.23,52.88,52.16,52.47,978377
1749047400000,52.47,52.85,52.46,52.65,592136
1749048300000,52.64,53.77,52.63,53.2,1522592
1749049200000,53.2,53.98,53.04,53.8,1216236
1749050100000,53.79,55.78,53.77,54.62,3115163
1749051000000,54.61,55.37,53.43,53.92,2242130
1749051900000,53.92,54.11,52.42,53.15,2417426
1749052800000,53.16,53.74,52.54,52.72,1542557
1749053700000,52.73,53.03,51.76,52.09,1524919
1749054600000,52.07,54.06,52.05,53.97,1372994
1749055500000,53.98,54.41,53.71,54.22,1272561
1749056400000,54.2,55.15,54.19,54.68,1438883
1749057300000,54.69,54.78,54.09,54.47,883670
1749058200000,54.47,54.47,53.51,53.66,932328
1749059100000,53.66,54.35,53.36,54.01,639803
1749060000000,54.01,54.49,53.54,53.88,494732
1749060900000,53.88,54.37,53.22,53.48,837587
1749061800000,53.49,53.59,52.85,53.11,544858
1749062700000,53.12,53.38,52.92,52.99,264357
1749063600000,52.98,53.24,52.63,52.79,274924
1749064500000,52.79,52.96,52.46,52.83,261282
1749065400000,52.83,53.36,52.58,52.82,386183
1749066300000,52.83,52.99,52.52,52.76,194523
1749067200000,52.75,52.81,51.66,52.19,751811
1749068100000,52.19,52.37,51.04,52.3,580582
1749069000000,52.31,52.35,51.89,52.29,228455
1749069900000,52.28,52.52,52.13,52.33,257899
1749070800000,52.33,52.52,51.22,51.63,359583
1749071700000,51.61,52.26,51.07,51.92,295155
1749072600000,51.92,52.36,51.67,52.03,209918
1749073500000,52.03,52.76,51.95,52.15,193335
1749074400000,52.18,52.44,51.74,51.98,297609
1749075300000,51.98,52.1,51.3,51.52,397644
1749076200000,51.53,52.21,51.25,52.06,307603
1749077100000,52.06,52.3,51.76,52.19,229312
1749078000000,52.18,52.56,51.87,52.12,416610
1749078900000,52.1,52.53,51.98,52.27,636858
1749079800000,52.27,52.75,52.2,52.7,469137
1749080700000,52.7,52.88,52.46,52.69,277082
1749081600000,52.7,53.07,52.35,52.49,516032
1749082500000,52.5,52.96,52.27,52.88,444611
1749083400000,52.88,53.47,52.73,53.22,496117
1749084300000,53.2,53.6,52.71,53.29,608659
1749085200000,53.27,54.13,53.25,53.58,795558
1749086100000,53.56,53.9,53.02,53.88,520895
1749087000000,53.87,54.58,53.58,54.26,830360
1749087900000,54.26,55.03,54.17,54.97,849847
1749088800000,54.97,55.3,53.95,54.3,1025659
1749089700000,54.31,54.76,49.44,50.98,3673273
1749090600000,50.98,52.36,50.88,52.13,1356437
1749091500000,52.14,52.15,51.06,51.19,770216
1749092400000,51.19,51.97,51.19,51.49,477785
1749093300000,51.49,51.87,51.33,51.52,346727
1749094200000,51.53,51.62,50.53,51.29,595534
1749095100000,51.3,51.42,51.07,51.42,263197
1749096000000,51.41,51.41,50.95,51.24,377512
1749096900000,51.25,51.74,51.15,51.29,378115
1749097800000,51.29,51.39,51.04,51.11,235900
1749098700000,51.1,51.58,51.05,51.24,253524
1749099600000,51.24,51.26,50.27,50.51,672876
1749100500000,50.5,50.94,50.25,50.35,554176
1749101400000,50.35,50.36,49.82,50.08,734593
1749102300000,50.08,50.31,49.72,50.27,457067
1749103200000,50.26,50.68,50.2,50.5,310687
1749104100000,50.51,50.52,49.88,50.3,454016
1749105000000,50.3,50.36,49.92,50.01,347473
1749105900000,50.01,50.21,49.95,50.1,194108
1749106800000,50.11,50.22,49.64,50.01,462081
1749107700000,50.02,50.25,49.72,49.98,308879
1749108600000,49.98,50.07,49.2,49.77,887791
1749109500000,49.76,49.82,49.43,49.53,311951
1749110400000,49.54,49.87,49.54,49.66,216826
1749111300000,49.67,49.88,49.59,49.77,229669
