ts,open,high,low,close,volume
1762149600000,16.8,16.8,15.83,16.23,425173
1762150500000,16.23,16.42,15.82,16.1,334784
1762151400000,16.1,16.18,16,16.13,144150
1762152300000,16.13,16.15,15.83,15.9,197595
1762153200000,15.9,16.12,15.84,16.01,169463
1762154100000,16,16.3,15.98,16.13,219880
1762155000000,16.14,16.68,16.06,16.39,309157
1762155900000,16.39,16.65,16.29,16.64,228655
1762156800000,16.64,17.03,16.47,16.84,421006
1762157700000,16.84,17.14,16.75,16.82,331833
1762158600000,16.82,16.85,16.4,16.57,502061
1762159500000,16.58,17.44,16.35,17.36,462884
1762160400000,17.35,17.38,16.98,17.18,334486
1762161300000,17.19,17.19,16.83,16.97,130999
1762162200000,16.98,17.16,16.76,17.09,198382
1762163100000,17.09,17.09,16.86,17.06,121336
1762164000000,17.04,17.24,17,17.1,164596
1762164900000,17.09,17.13,16.88,16.97,133510
1762165800000,16.97,17.05,16.82,16.87,143170
1762166700000,16.89,17.28,16.82,17.07,280628
1762167600000,17.07,17.17,16.81,16.93,160002
1762168500000,16.93,17.14,16.91,16.96,144935
1762169400000,16.95,17.05,16.86,16.99,123959
1762170300000,17,17.05,16.9,16.94,108091
1762171200000,16.95,16.95,16.45,16.71,312593
1762172100000,16.71,16.96,16.63,16.72,159400
1762173000000,16.72,16.77,16.38,16.5,185538
1762173900000,16.51,16.62,16.3,16.41,134478
1762174800000,16.41,16.49,16.24,16.39,171657
1762175700000,16.4,16.48,16.32,16.33,114350
1762176600000,16.33,16.79,16.32,16.63,279717
1762177500000,16.61,16.61,16.28,16.28,147088
1762178400000,16.27,16.56,16.19,16.22,175895
1762179300000,16.22,16.23,16.02,16.1,179695
1762180200000,16.1,16.16,15.9,15.96,161248
1762181100000,15.96,16.26,15.96,16.23,229455
1762182000000,16.23,16.28,16,16.06,139949
1762182900000,16.06,16.14,15.61,15.68,208170
1762183800000,15.68,16.3,15.03,15.7,343780
1762184700000,15.71,16.02,15.69,15.8,161557
1762185600000,15.81,15.86,15.55,15.67,145341
1762186500000,15.67,16.45,15.55,16.24,307928
1762187400000,16.23,17.2,16.16,16.7,494083
1762188300000,16.71,17,16.44,16.47,280052
1762189200000,16.46,16.69,16.24,16.56,239138
1762190100000,16.56,16.88,16.49,16.57,147608
1762191000000,16.59,18.72,16.59,18.41,1236005
1762191900000,18.39,18.59,17.84,18.2,1053056
1762192800000,18.2,18.53,18.03,18.24,862099
1762193700000,18.22,19.13,18.07,18.8,1064036
1762194600000,18.81,19.33,18.38,18.72,1062589
1762195500000,18.72,18.74,18.18,18.65,1017530
1762196400000,18.64,18.87,18.24,18.43,565363
1762197300000,18.42,18.58,18.11,18.19,338682
1762198200000,18.19,18.5,18.05,18.33,387428
1762199100000,18.33,18.42,17.91,18.1,443813
1762200000000,18.1,18.35,17.91,18.3,187319
1762200900000,18.3,18.92,18.09,18.89,699765
1762201800000,18.88,19.49,18.57,19.09,862970
1762202700000,19.1,19.18,18.48,18.58,302955
1762203600000,18.56,18.68,18.24,18.31,282582
1762204500000,18.31,18.39,18.09,18.31,237477
1762205400000,18.31,18.96,18.25,18.56,384152
1762206300000,18.57,18.84,18.44,18.64,213952
1762207200000,18.65,18.66,18.11,18.27,231292
1762208100000,18.27,18.41,17.64,17.78,241135
1762209000000,17.77,18.18,17.75,18.09,267687
1762209900000,18.09,18.46,18.06,18.25,200361
1762210800000,18.26,18.53,18.11,18.39,204214
1762211700000,18.38,18.71,18.17,18.66,451774
1762212600000,18.67,19.37,18.56,19.13,451521
1762213500000,19.14,19.4,18.87,19.18,305276
1762214400000,19.17,19.33,18.39,18.9,529918
1762215300000,18.9,19.63,18.64,19.26,535520
1762216200000,19.24,19.38,18.85,19.26,401367
1762217100000,19.26,20.35,19.26,20.26,1173533
1762218000000,20.28,20.94,19.99,20.9,1134477
1762218900000,20.88,21.25,20.42,20.81,1116976
1762219800000,20.81,20.82,19.68,19.76,1008974
1762220700000,19.76,20.31,19.54,19.83,801929
1762221600000,19.85,20,19.63,19.8,423780
1762222500000,19.8,20.23,19.66,20.1,414601
1762223400000,20.1,20.39,19.96,20.03,495127
1762224300000,20.02,20.13,19.43,19.69,553409
1762225200000,19.7,20.25,19.43,20.16,477260
1762226100000,20.14,22.01,20.13,21.54,2513292
1762227000000,21.55,22.33,21.4,21.91,1677794
1762227900000,21.9,22.54,21.49,22.41,1168959
1762228800000,22.42,23.96,22.15,23.5,2803945
1762229700000,23.48,24.29,22.82,24.16,1947676
1762230600000,24.18,24.77,23.73,24.42,1834226
1762231500000,24.41,24.93,23.88,24.2,1759002
1762232400000,24.19,24.31,22.4,23.03,2395815
1762233300000,23.04,23.24,21.67,22.01,2235219
1762234200000,21.99,22.04,21.15,21.21,1906961
1762235100000,21.21,21.54,19.86,20.18,2172976
1762236000000,20.17,20.97,20.1,20.66,1612925
1762236900000,20.65,21.42,20.6,20.94,1520923
1762237800000,20.94,21.57,20.8,21.4,930656
1762238700000,21.39,21.75,20.71,20.91,1507220
1762239600000,20.91,21.09,20.4,20.78,858866
1762240500000,20.78,21.29,20.58,20.76,721211
1762241400000,20.75,22.49,20.72,21.52,1816096
1762242300000,21.53,21.73,20.65,21.09,1123434
1762243200000,21.08,21.22,20.5,20.62,608201
1762244100000,20.61,21.1,20.39,20.92,737651
1762245000000,20.91,22,20.74,21.74,1040777
1762245900000,21.73,22.23,21.49,22.04,942713
1762246800000,22.04,22.41,21.27,21.46,886150
1762247700000,21.47,21.78,21.16,21.65,729724
1762248600000,21.64,22.22,21.54,22.04,616520
1762249500000,22.02,22.46,21.84,22.32,685553
1762250400000,22.31,22.31,21.72,22.09,574090
1762251300000,22.08,23.09,21.91,22.74,1238939
1762252200000,22.74,22.93,22.12,22.54,713012
1762253100000,22.54,22.72,21.83,22,818749
1762254000000,22,22.93,21.85,22.38,683158
1762254900000,22.38,22.5,19.11,19.67,2111998
1762255800000,19.67,20.03,18.56,19.37,2153329
1762256700000,19.39,19.82,18.89,19.09,912630
1762257600000,19.09,19.21,18.58,18.69,1195865
1762258500000,18.69,19.54,18.05,19.26,2049724
1762259400000,19.25,19.5,18.78,18.98,909908
1762260300000,18.98,19.45,18.97,19.25,617816
1762261200000,19.26,19.27,18.25,18.77,962022
1762262100000,18.75,18.75,18.08,18.12,582477
1762263000000,18.13,19.01,18.04,18.77,886642
1762263900000,18.77,19.19,18.41,18.93,697981
1762264800000,18.92,19.73,18.87,19.39,863772
1762265700000,19.39,20.55,19.36,20.03,874916
1762266600000,20.04,21.08,19.85,20.95,778020
1762267500000,20.96,21.23,20.23,20.37,805024
1762268400000,20.37,20.46,19.32,19.8,1142659
1762269300000,19.8,20.21,19.8,19.96,524622
1762270200000,19.95,20.34,19.9,19.9,359869
1762271100000,19.9,20.05,18.97,19.27,932545
1762272000000,19.27,19.84,19.11,19.64,614126
1762272900000,19.65,19.81,19.2,19.53,411589
1762273800000,19.52,19.66,19.25,19.25,177871
1762274700000,19.24,19.88,19.21,19.87,450613
1762275600000,19.88,19.94,18.84,18.95,536728
1762276500000,18.96,19.53,18.42,19.42,670583
1762277400000,19.42,19.83,19.19,19.21,289367
1762278300000,19.2,19.49,19.05,19.34,185989
1762279200000,19.34,19.5,19.05,19.14,198143
1762280100000,19.15,19.19,18.58,18.77,280002
1762281000000,18.76,19.18,18.52,19.18,453980
1762281900000,19.17,20.06,18.77,19.8,490940
1762282800000,19.81,20.27,19.74,19.98,340380
1762283700000,19.97,20.08,19.59,19.71,202181
1762284600000,19.7,19.8,19.22,19.28,161246
1762285500000,19.28,19.63,19.23,19.63,74510
1762286400000,19.64,19.69,19,19.03,148418
1762287300000,19.03,19.16,18.51,19.13,429640
1762288200000,19.14,19.9,19,19.89,326707
1762289100000,19.9,19.91,19.07,19.25,229349
1762290000000,19.26,19.36,18.78,18.83,233010
1762290900000,18.81,19.28,18.8,18.94,229814
1762291800000,18.94,19.06,18.27,18.64,259461
1762292700000,18.65,19.36,18.65,19.27,250081
1762293600000,19.26,19.72,19.07,19.61,369569
1762294500000,19.6,20.11,19.48,20.11,137126
1762295400000,20.1,20.92,20.01,20.78,345764
1762296300000,20.78,21,19.87,20.44,470829
1762297200000,20.42,20.5,20.04,20.17,198877
1762298100000,20.16,20.22,19.8,19.85,154398
1762299000000,19.84,20.27,19.69,20.1,255971
1762299900000,20.11,20.25,19.83,19.84,151783
1762300800000,19.86,20,19.36,19.4,270925
1762301700000,19.41,19.69,19.15,19.26,277256
1762302600000,19.26,19.29,18.93,18.96,214887
1762303500000,18.98,19.42,18.92,19.32,152992
1762304400000,19.33,19.37,18.88,19.08,316904
1762305300000,19.08,19.09,18.67,18.72,242818
1762306200000,18.74,18.94,18.6,18.63,160194
1762307100000,18.63,19.27,18.6,19.11,236827
1762308000000,19.11,19.36,18.96,19.18,194036
1762308900000,19.2,19.55,19.04,19.26,301044
1762309800000,19.27,19.32,18.92,19.02,139736
1762310700000,19.03,19.29,18.84,19.22,172634
1762311600000,19.24,19.34,18.99,19.22,153379
1762312500000,19.19,19.22,19.02,19.15,147614
1762313400000,19.15,19.68,19.13,19.61,274006
1762314300000,19.59,19.59,19.26,19.43,255661
1762315200000,19.42,19.51,19.13,19.16,232020
1762316100000,19.17,19.21,19.01,19.05,143898
1762317000000,19.04,19.11,18.91,18.93,113379
1762317900000,18.92,19.23,18.72,18.84,184959
1762318800000,18.84,19.54,18.84,19.37,265681
1762319700000,19.36,19.51,19.04,19.05,144853
1762320600000,19.06,19.27,18.92,19.16,147378
1762321500000,19.15,19.29,18.81,18.83,158451
1762322400000,18.83,18.88,18.35,18.5,336130
1762323300000,18.49,18.91,18.49,18.61,179133
1762324200000,18.6,18.93,18.59,18.75,138602
1762325100000,18.74,18.92,18.74,18.89,121406
1762326000000,18.9,19.47,18.9,19.38,389665
1762326900000,19.37,19.51,19.04,19.12,235059
1762327800000,19.13,19.28,19,19.22,153987
1762328700000,19.21,19.43,19.12,19.26,114658
1762329600000,19.26,19.27,18.82,18.92,152661
1762330500000,18.91,18.91,18.48,18.54,129008
1762331400000,18.54,18.77,18.12,18.12,230053
1762332300000,18.13,18.31,17.8,18.29,403783
1762333200000,18.29,18.61,18.12,18.34,169800
1762334100000,18.34,18.39,18.14,18.27,90402
1762335000000,18.27,18.34,17.98,18.33,107965
1762335900000,18.32,18.48,18.2,18.46,87848
1762336800000,18.45,18.98,18.27,18.73,439421
1762337700000,18.74,18.76,18.35,18.42,120165
1762338600000,18.41,18.64,17.97,18.1,243890
1762339500000,18.11,18.19,17.93,17.93,120056
1762340400000,17.95,18.16,17.7,18.04,243183
1762341300000,18.04,18.35,17.98,18.16,181158
1762342200000,18.16,18.66,18.14,18.59,255200
1762343100000,18.59,18.86,18.58,18.78,245742
1762344000000,18.79,19.13,18.63,19.12,243807
1762344900000,19.12,19.74,18.98,19.06,651559
1762345800000,19.06,19.12,18.7,18.96,336433
1762346700000,18.96,19.01,18.75,18.8,191147
1762347600000,18.81,18.98,18.65,18.69,144946
1762348500000,18.67,18.81,18.43,18.54,148303
1762349400000,18.54,19.43,18.49,19.2,336133
