ts,open,high,low,close,volume
1748793600000,0.03923,0.03958,0.0392,0.0395,132070
1748795400000,0.03949,0.03971,0.03945,0.03954,79802
1748797200000,0.03954,0.03962,0.03946,0.03951,56622
1748799000000,0.03952,0.03964,0.03949,0.03954,30297
1748800800000,0.03954,0.03956,0.03924,0.03928,31139
1748802600000,0.03926,0.03927,0.03895,0.03922,97589
1748804400000,0.03922,0.0394,0.03922,0.03938,29150
1748806200000,0.03938,0.03945,0.03934,0.03942,14532
1748808000000,0.03941,0.03946,0.0393,0.03943,10977
1748809800000,0.03944,0.03958,0.03942,0.03942,14089
1748811600000,0.03943,0.03952,0.03938,0.03943,118177
1748813400000,0.03943,0.03959,0.03942,0.03951,32246
1748815200000,0.03952,0.03965,0.03951,0.03951,53614
1748817000000,0.03951,0.03956,0.03947,0.03956,19298
1748818800000,0.03958,0.03967,0.03954,0.03954,25822
1748820600000,0.03953,0.03958,0.03946,0.03952,22922
1748822400000,0.03952,0.03953,0.03942,0.03942,53063
1748824200000,0.03942,0.03956,0.03936,0.03947,48798
1748826000000,0.03947,0.03971,0.03947,0.03952,55540
1748827800000,0.03951,0.03953,0.03941,0.03943,9403
1748829600000,0.03942,0.03944,0.03925,0.03934,31998
1748831400000,0.03934,0.03936,0.03914,0.03918,23468
1748833200000,0.0392,0.03921,0.039,0.03906,58329
1748835000000,0.03908,0.0392,0.03901,0.03908,39884
1748836800000,0.03908,0.03916,0.039,0.0391,47161
1748838600000,0.03909,0.03918,0.039,0.03908,28259
1748840400000,0.03907,0.03917,0.03895,0.03909,36295
1748842200000,0.03909,0.03913,0.03892,0.03913,62726
1748844000000,0.03913,0.03938,0.0391,0.03937,99109
1748845800000,0.03937,0.03962,0.03936,0.03951,63639
1748847600000,0.0395,0.03975,0.0395,0.03959,135169
1748849400000,0.03957,0.03962,0.03949,0.03954,98644
1748851200000,0.03954,0.03975,0.0395,0.03973,109635
1748853000000,0.03974,0.03975,0.03927,0.03933,146798
1748854800000,0.03935,0.03935,0.03898,0.03899,39763
1748856600000,0.03899,0.03916,0.03894,0.03907,34764
1748858400000,0.03905,0.03914,0.03894,0.03905,117027
1748860200000,0.03905,0.03909,0.03893,0.03906,27831
1748862000000,0.03905,0.03924,0.03898,0.03913,32393
1748863800000,0.03912,0.03928,0.03903,0.03925,35320
1748865600000,0.03923,0.0393,0.03912,0.03925,117458
1748867400000,0.03926,0.03971,0.03925,0.03968,98657
1748869200000,0.03968,0.03969,0.03933,0.03946,63925
1748871000000,0.03948,0.0397,0.03934,0.03937,67364
1748872800000,0.03938,0.03985,0.03927,0.03969,122199
1748874600000,0.0397,0.0397,0.03923,0.0394,95470
1748876400000,0.03941,0.03963,0.03924,0.03949,116275
1748878200000,0.0395,0.03953,0.03936,0.03943,75729
1748880000000,0.03944,0.03951,0.03927,0.0393,79135
1748881800000,0.0393,0.03943,0.03915,0.03938,72554
1748883600000,0.03938,0.03951,0.03921,0.03941,42189
1748885400000,0.03942,0.03956,0.03932,0.03951,45435
1748887200000,0.03949,0.03965,0.0393,0.03955,88862
1748889000000,0.03955,0.03959,0.03931,0.03933,17261
1748890800000,0.03932,0.03947,0.03923,0.03934,75614
1748892600000,0.03934,0.03934,0.03899,0.03919,144818
1748894400000,0.0392,0.03963,0.0392,0.03959,75449
1748896200000,0.0396,0.03971,0.03952,0.03971,41206
1748898000000,0.03971,0.03997,0.03971,0.03987,102943
1748899800000,0.03988,0.04004,0.03979,0.04004,87153
1748901600000,0.04004,0.04035,0.04004,0.04031,133811
1748903400000,0.04031,0.04032,0.04015,0.04022,39689
1748905200000,0.04022,0.04027,0.04014,0.04026,101634
1748907000000,0.04024,0.04024,0.04016,0.04019,52518
1748908800000,0.04021,0.04051,0.04011,0.04032,138767
1748910600000,0.04032,0.0404,0.04025,0.04032,29458
1748912400000,0.04034,0.04054,0.04033,0.04051,69255
1748914200000,0.04051,0.04067,0.04044,0.04065,63977
1748916000000,0.04065,0.04069,0.04043,0.0405,178867
1748917800000,0.0405,0.04053,0.04035,0.04041,133632
1748919600000,0.0404,0.04043,0.04014,0.04017,164160
1748921400000,0.04018,0.04019,0.04007,0.04013,119907
1748923200000,0.04012,0.04014,0.03991,0.04007,134736
1748925000000,0.04006,0.04006,0.03993,0.03997,64710
1748926800000,0.03999,0.0402,0.03999,0.0402,75682
