ts,open,high,low,close,volume
1748795400000,0.8339,0.8387,0.8326,0.8342,87872
1748797200000,0.8343,0.8357,0.8309,0.8343,29345
1748799000000,0.8343,0.8366,0.8321,0.8343,39589
1748800800000,0.8343,0.8345,0.8248,0.8261,47510
1748802600000,0.8261,0.8279,0.8199,0.8274,101764
1748804400000,0.8276,0.8313,0.827,0.8301,31261
1748806200000,0.8301,0.8327,0.8298,0.8324,16345
1748808000000,0.8325,0.8333,0.8283,0.8327,21620
1748809800000,0.8329,0.8368,0.8315,0.8322,33732
1748811600000,0.8321,0.8368,0.8315,0.8362,19687
1748813400000,0.8362,0.8417,0.8353,0.8394,38933
1748815200000,0.8392,0.844,0.8392,0.8396,55341
1748817000000,0.8398,0.8414,0.8384,0.8409,32676
1748818800000,0.841,0.847,0.8408,0.8434,45201
1748820600000,0.8433,0.8452,0.8418,0.8437,40310
1748822400000,0.8437,0.8458,0.84,0.8406,54159
1748824200000,0.8407,0.8464,0.8398,0.8446,45554
1748826000000,0.8446,0.8505,0.8445,0.8458,76548
1748827800000,0.846,0.8471,0.8428,0.8431,60383
1748829600000,0.8431,0.8442,0.8362,0.8396,82272
1748831400000,0.8396,0.8409,0.834,0.8357,41236
1748833200000,0.8357,0.8361,0.8281,0.8309,93609
1748835000000,0.8308,0.8331,0.8282,0.8295,41208
1748836800000,0.8295,0.8319,0.8275,0.8312,31995
1748838600000,0.8311,0.8329,0.8259,0.8266,26962
1748840400000,0.8267,0.8307,0.8246,0.8296,37142
1748842200000,0.8295,0.8295,0.8223,0.827,38995
1748844000000,0.8271,0.8289,0.8229,0.828,40980
1748845800000,0.8281,0.8341,0.8266,0.8305,44110
1748847600000,0.8306,0.8399,0.8306,0.8344,35752
1748849400000,0.8342,0.836,0.8324,0.8337,32950
1748851200000,0.8336,0.8379,0.8326,0.8369,36297
1748853000000,0.8369,0.8389,0.8264,0.8283,68087
1748854800000,0.8284,0.8284,0.8196,0.8227,72993
1748856600000,0.8227,0.8253,0.8178,0.8204,42190
1748858400000,0.8203,0.8234,0.8177,0.8198,98031
1748860200000,0.8199,0.8226,0.8172,0.8225,23136
1748862000000,0.8224,0.8257,0.8208,0.8229,26792
1748863800000,0.8228,0.8264,0.819,0.8249,58677
1748865600000,0.8248,0.8262,0.8201,0.825,38281
1748867400000,0.8251,0.831,0.8245,0.8298,56669
1748869200000,0.8299,0.8316,0.8227,0.8268,49158
1748871000000,0.8268,0.8348,0.8239,0.8251,66642
1748872800000,0.8251,0.836,0.8217,0.8336,89073
1748874600000,0.8337,0.8369,0.827,0.8319,52446
1748876400000,0.8319,0.8373,0.8272,0.8327,45574
1748878200000,0.8328,0.8345,0.8308,0.8326,22047
1748880000000,0.8327,0.833,0.8267,0.8279,27212
