ts,open,high,low,close,volume
1748795400000,2.1619,2.1733,2.1595,2.1675,34519.8
1748797200000,2.1675,2.1742,2.1649,2.17,15031.58
1748799000000,2.1699,2.1755,2.1684,2.1706,17870.01
1748800800000,2.1706,2.171,2.1545,2.1559,24201.01
1748802600000,2.1558,2.1585,2.1438,2.1562,31922.65
1748804400000,2.1563,2.164,2.1532,2.1627,16094.52
1748806200000,2.1627,2.1667,2.1581,2.1662,11361.94
1748808000000,2.1662,2.1687,2.1596,2.1644,9822.59
1748809800000,2.1644,2.1672,2.1536,2.1542,12137.26
1748811600000,2.1541,2.1692,2.1523,2.1675,20835.61
1748813400000,2.1675,2.1749,2.1668,2.1709,12319.98
1748815200000,2.1708,2.1796,2.1705,2.1719,17760.29
1748817000000,2.172,2.1732,2.1683,2.1714,9174.77
1748818800000,2.1714,2.1867,2.1714,2.1779,34044.05
1748820600000,2.1779,2.1825,2.1753,2.1779,11798.21
1748822400000,2.178,2.18,2.1682,2.1683,21820.96
1748824200000,2.1684,2.1737,2.1658,2.1696,11361.45
1748826000000,2.1698,2.1821,2.1696,2.1731,16870.99
1748827800000,2.1731,2.1733,2.163,2.163,10596.76
1748829600000,2.1631,2.1703,2.1594,2.1679,23461.41
1748831400000,2.1679,2.169,2.1559,2.1588,13338.95
1748833200000,2.1588,2.1593,2.1492,2.1555,81182.44
1748835000000,2.1555,2.1608,2.1553,2.1566,16385.15
1748836800000,2.1565,2.1658,2.1563,2.1637,10430.8
1748838600000,2.1636,2.1732,2.1633,2.1686,17841.27
1748840400000,2.1687,2.1747,2.1666,2.1723,18143.64
1748842200000,2.1724,2.174,2.1634,2.1685,13829.19
1748844000000,2.1685,2.1726,2.1563,2.1631,34540.71
1748845800000,2.163,2.1699,2.1622,2.1662,16148.69
1748847600000,2.1661,2.1786,2.1657,2.1693,24862.82
1748849400000,2.1693,2.1723,2.1608,2.1625,15176.94
1748851200000,2.1624,2.1785,2.1614,2.1766,38039.23
1748853000000,2.1766,2.1784,2.1607,2.1625,20374.84
1748854800000,2.1626,2.163,2.1471,2.1532,43559.08
1748856600000,2.1532,2.158,2.148,2.1519,20858.12
1748858400000,2.1519,2.158,2.1408,2.1474,68324.78
1748860200000,2.1473,2.1491,2.1411,2.1452,14301.06
1748862000000,2.1453,2.1485,2.1373,2.1397,22141.39
1748863800000,2.1396,2.1426,2.133,2.1415,22321.04
1748865600000,2.1415,2.1486,2.1364,2.1442,32505.87
1748867400000,2.1442,2.152,2.1427,2.1507,28504.66
1748869200000,2.1508,2.1517,2.1381,2.1426,17832.51
1748871000000,2.1426,2.1544,2.1378,2.1418,28316.84
1748872800000,2.1417,2.1567,2.1358,2.1528,39924.99
1748874600000,2.1528,2.159,2.1432,2.1486,21397.92
1748876400000,2.1486,2.1627,2.1419,2.157,22178.91
1748878200000,2.1571,2.1613,2.1543,2.1582,10923.98
1748880000000,2.1583,2.1598,2.148,2.1511,14659.59
1748881800000,2.151,2.1641,2.1483,2.162,15268.22
1748883600000,2.162,2.1757,2.162,2.1705,35439.13
1748885400000,2.1707,2.1728,2.1616,2.1677,18139.91
1748887200000,2.1677,2.1775,2.1643,2.1743,21666.83
1748889000000,2.1743,2.1761,2.1632,2.1648,12638.92
1748890800000,2.1648,2.1725,2.1613,2.1651,15256.76
1748892600000,2.165,2.1661,2.1552,2.1643,15713.83
1748894400000,2.1643,2.1835,2.1643,2.1828,28374.11
1748896200000,2.1828,2.1841,2.1715,2.1756,20628.92
1748898000000,2.1756,2.1848,2.1755,2.1788,28199.35
1748899800000,2.1789,2.1853,2.1739,2.1849,19002.45
1748901600000,2.185,2.2039,2.185,2.2013,88486.17
1748903400000,2.2012,2.202,2.1865,2.1895,26152.01
1748905200000,2.1896,2.1987,2.1881,2.1978,32840.12
1748907000000,2.1978,2.203,2.1946,2.1958,50001.55
1748908800000,2.1959,2.2092,2.1916,2.2004,34880.02
1748910600000,2.2004,2.2062,2.1998,2.203,12613.52
1748912400000,2.2031,2.2159,2.2031,2.2134,22723.16
1748914200000,2.2133,2.2186,2.2119,2.2174,23860.95
1748916000000,2.2173,2.2213,2.205,2.2066,31917.6
1748917800000,2.2067,2.2093,2.1973,2.199,31352.71
1748919600000,2.1989,2.2009,2.1908,2.1916,26068.28
1748921400000,2.1917,2.1951,2.1851,2.1951,18553.38
1748923200000,2.1951,2.1966,2.1878,2.1915,18579.65
1748925000000,2.1915,2.1929,2.1868,2.1894,12886.32
1748926800000,2.1895,2.2,2.1895,2.1994,18826.84
1748928600000,2.1995,2.2047,2.1994,2.2027,24093.51
1748930400000,2.2028,2.2062,2.1952,2.1974,30668.8
1748932200000,2.1974,2.202,2.1966,2.2013,9232.61
1748934000000,2.2013,2.2024,2.191,2.192,15570.69
1748935800000,2.192,2.1939,2.1879,2.1893,14405.34
