ts,open,high,low,close,volume
1784842020000,0.09288,0.09288,0.09278,0.09278,49954
1784842200000,0.09279,0.09289,0.09275,0.09286,43150
1784842380000,0.09286,0.09293,0.09282,0.09292,83965
1784842560000,0.09292,0.09292,0.09283,0.09284,7445
1784842740000,0.09284,0.09285,0.0926,0.0926,287311
1784842920000,0.0926,0.0926,0.09241,0.09249,327709
1784843100000,0.09247,0.09262,0.09247,0.09257,43434
1784843280000,0.09257,0.0926,0.09255,0.09256,21240
1784843460000,0.09256,0.0926,0.09248,0.09248,10303
1784843640000,0.09249,0.09249,0.09224,0.09239,260196
1784843820000,0.09239,0.09244,0.09233,0.0924,79820
1784844000000,0.0924,0.09242,0.09233,0.09239,197768
1784844180000,0.09239,0.09252,0.09239,0.0925,172437
1784844360000,0.0925,0.0925,0.09245,0.0925,61006
1784844540000,0.09251,0.09253,0.09236,0.09236,316357
1784844720000,0.09235,0.09235,0.0921,0.09214,148872
1784844900000,0.09214,0.09217,0.09191,0.09195,199533
1784845080000,0.09196,0.0923,0.09193,0.09228,170452
1784845260000,0.09228,0.09262,0.09227,0.09262,150889
1784845440000,0.09262,0.09271,0.09258,0.09264,149789
1784845620000,0.09263,0.09272,0.09262,0.09268,124121
1784845800000,0.09268,0.09276,0.09264,0.09269,100183
1784845980000,0.09269,0.09275,0.09265,0.09275,70617
1784846160000,0.09275,0.09276,0.09265,0.09276,144243
1784846340000,0.09276,0.09276,0.09265,0.09267,45816
1784846520000,0.09267,0.09271,0.09266,0.09269,37826
1784846700000,0.09269,0.09277,0.09269,0.09275,28315
1784846880000,0.09275,0.09275,0.09271,0.09273,42757
1784847060000,0.09273,0.09278,0.09272,0.09277,166134
1784847240000,0.09277,0.09287,0.09277,0.09282,97229
1784847420000,0.09282,0.09285,0.09274,0.09275,73918
1784847600000,0.09275,0.09295,0.09274,0.09293,148854
1784847780000,0.09293,0.09296,0.09276,0.09286,108631
1784847960000,0.09286,0.09286,0.09279,0.0928,29471
1784848140000,0.0928,0.09281,0.09278,0.09279,30794
1784848320000,0.09279,0.09279,0.09267,0.09277,158223
