ts,open,high,low,close,volume
1784835600000,75.61,75.61,75.55,75.58,6207.3
1784835900000,75.58,75.62,75.46,75.47,18418.85
1784836200000,75.48,75.56,75.37,75.48,55922.55
1784836500000,75.49,75.73,75.49,75.68,37375.81
1784836800000,75.69,75.88,75.65,75.86,24767.95
1784837100000,75.86,75.98,75.84,75.95,30551.82
1784837400000,75.95,76.03,75.92,75.98,16068.76
1784837700000,75.98,76.08,75.96,76.07,20410.32
1784838000000,76.07,76.12,76.05,76.1,8716.17
1784838300000,76.1,76.14,76.06,76.09,9475.57
1784838600000,76.08,76.12,76.03,76.03,9884.77
1784838900000,76.04,76.11,76.04,76.06,13020.11
1784839200000,76.06,76.07,76.01,76.03,9581.11
1784839500000,76.02,76.05,76.01,76.05,10073.8
1784839800000,76.05,76.07,76.03,76.05,2728.57
1784840100000,76.06,76.12,76.05,76.08,4882.93
1784840400000,76.07,76.22,76.07,76.14,30308.11
1784840700000,76.13,76.15,76.03,76.04,12006.78
1784841000000,76.04,76.05,75.91,75.96,14235.83
1784841300000,75.95,75.99,75.86,75.91,16696.02
1784841600000,75.9,76.01,75.9,75.97,10148.12
1784841900000,75.96,76.05,75.96,75.99,4873.44
1784842200000,75.98,76.03,75.97,75.99,3841.54
1784842500000,76,76.06,75.96,76,14161.11
1784842800000,76,76.03,75.98,76.01,6193.12
1784843100000,76.01,76.04,76,76.02,2863.98
1784843400000,76.02,76.03,75.95,75.96,2073
1784843700000,75.95,76,75.92,75.99,5033.64
1784844000000,76,76.01,75.87,75.97,11738.86
1784844300000,75.96,76.06,75.96,76.02,5600.74
1784844600000,76.03,76.03,75.9,75.91,13853.73
1784844900000,75.91,75.95,75.8,75.93,16459.8
1784845200000,75.93,76.12,75.91,76.09,9394.61
1784845500000,76.09,76.16,76.05,76.05,15494.97
1784845800000,76.05,76.16,76.05,76.15,6617.34
1784846100000,76.14,76.19,76.11,76.18,11992.02
1784846400000,76.18,76.18,76.09,76.15,6492.42
1784846700000,76.15,76.18,76.1,76.11,5126.7
1784847000000,76.11,76.12,76.07,76.11,4793.66
1784847300000,76.11,76.15,76.11,76.13,1741.47
1784847600000,76.13,76.19,76.1,76.12,6899.31
1784847900000,76.13,76.16,76.1,76.12,6303.24
1784848200000,76.11,76.14,76.1,76.12,5319.11
1784848500000,76.13,76.18,76.11,76.18,6291.75
1784848800000,76.18,76.21,76.15,76.18,8491.19
1784849100000,76.17,76.19,76.11,76.15,4108.11
1784849400000,76.16,76.17,76.05,76.11,14269
1784849700000,76.12,76.13,76.04,76.1,6348.91
1784850000000,76.1,76.1,76.03,76.06,4072.05
1784850300000,76.06,76.08,75.98,75.98,5636.98
1784850600000,75.99,75.99,75.83,75.84,27048.8
1784850900000,75.83,75.87,75.82,75.83,7809.76
1784851200000,75.83,75.85,75.72,75.77,26953.01
1784851500000,75.77,75.79,75.64,75.66,25383.46
1784851800000,75.66,75.75,75.6,75.69,45070.69
1784852100000,75.68,75.76,75.67,75.7,7645.43
1784852400000,75.7,75.85,75.68,75.79,10633.81
1784852700000,75.8,75.8,75.69,75.7,10000.85
1784853000000,75.71,75.74,75.46,75.62,44308.56
1784853300000,75.61,75.73,75.59,75.6,23895.24
1784853600000,75.6,75.64,75.51,75.62,18774.22
1784853900000,75.63,75.75,75.62,75.74,7855.86
1784854200000,75.74,75.78,75.68,75.74,22624.4
1784854500000,75.73,75.81,75.69,75.79,19828.78
1784854800000,75.78,75.9,75.73,75.89,10770.07
1784855100000,75.89,75.98,75.88,75.92,13786.75
1784855400000,75.91,75.94,75.83,75.85,6399.21
1784855700000,75.85,75.96,75.8,75.94,17887.44
1784856000000,75.94,75.95,75.88,75.93,7857.04
1784856300000,75.94,76.08,75.88,75.88,14067.46
1784856600000,75.88,75.99,75.83,75.96,10007.41
1784856900000,75.97,75.98,75.9,75.91,12953.08
1784857200000,75.9,75.94,75.85,75.86,8775.8
1784857500000,75.85,75.85,75.78,75.79,14661.56
1784857800000,75.79,75.79,75.69,75.7,21465.29
1784858100000,75.71,75.71,75.62,75.64,22596.94
1784858400000,75.64,75.75,75.64,75.67,12713.94
1784858700000,75.66,75.78,75.64,75.78,19589.04
1784859000000,75.78,75.87,75.78,75.85,27086.08
1784859300000,75.85,75.88,75.74,75.75,6603.63
1784859600000,75.75,75.81,75.67,75.79,6597.13
1784859900000,75.79,75.83,75.7,75.74,24859.66
1784860200000,75.74,75.75,75.44,75.45,33854.53
1784860500000,75.45,75.49,75.4,75.45,31141.73
1784860800000,75.45,75.59,75.45,75.52,42366.19
1784861100000,75.52,75.53,75.23,75.32,79433.11
1784861400000,75.32,75.39,75.27,75.38,23812.88
1784861700000,75.37,75.51,75.37,75.48,19500.18
1784862000000,75.49,75.65,75.43,75.62,14302.4
1784862300000,75.62,75.8,75.61,75.71,22820.12
1784862600000,75.72,75.78,75.68,75.76,9133.65
1784862900000,75.77,75.87,75.76,75.79,35732.82
1784863200000,75.79,75.87,75.77,75.79,21379.59
1784863500000,75.79,75.92,75.78,75.85,30699.36
1784863800000,75.84,75.89,75.77,75.8,10650.91
1784864100000,75.8,75.82,75.73,75.74,5718.9
1784864400000,75.74,75.84,75.68,75.84,18624.29
1784864700000,75.84,75.86,75.79,75.85,9536.98
1784865000000,75.86,75.86,75.75,75.76,11169.33
1784865300000,75.77,75.82,75.76,75.78,2281.75
1784865600000,75.78,75.81,75.74,75.79,8772.04
