epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4161,2.17434,7.43549,1.86345,0.36387,0.4918,0.37508,0.13257,1.14973,54.346,1.0189,0.000664141,0.000664141,0.000664141
2,83.6091,1.8564,3.20529,1.6369,0.34486,0.38486,0.31284,0.09756,1.2,10.7441,1.02741,0.00128689,0.00128689,0.00128689
3,111.47,1.79468,1.9535,1.63382,0.49973,0.5273,0.4902,0.17787,1.12306,5.69104,0.98543,0.00186564,0.00186564,0.00186564
4,139.271,1.69012,1.67655,1.57727,0.35415,0.19016,0.16154,0.04436,1.38956,3.43007,1.31739,0.001802,0.001802,0.001802
5,166.853,1.65198,1.49171,1.55541,0.43406,0.4918,0.43295,0.15092,1.19602,2.19335,1.04341,0.001736,0.001736,0.001736
6,194.375,1.56667,1.43755,1.50753,0.56685,0.58361,0.55803,0.17989,1.14837,2.82082,1.00642,0.00167,0.00167,0.00167
7,222.317,1.54101,1.41309,1.4878,0.51912,0.59672,0.53513,0.167,1.23156,2.39266,1.12523,0.001604,0.001604,0.001604
8,249.899,1.49924,1.28335,1.46205,0.50497,0.4649,0.46597,0.15899,1.15803,1.60989,1.00265,0.001538,0.001538,0.001538
9,277.538,1.40406,1.22122,1.40912,0.34205,0.39344,0.30451,0.07727,1.29773,1.82352,1.13642,0.001472,0.001472,0.001472
10,305.23,1.35345,1.18308,1.37562,0.58771,0.50492,0.54847,0.19484,1.14932,1.45656,1.03362,0.001406,0.001406,0.001406
11,332.853,1.29571,1.10475,1.34473,0.54192,0.38689,0.45597,0.15217,1.21013,1.5816,1.06089,0.00134,0.00134,0.00134
12,360.722,1.2365,1.04609,1.31361,0.46704,0.5377,0.44903,0.13975,1.32538,1.80112,1.16822,0.001274,0.001274,0.001274
13,387.946,1.16084,0.94875,1.25911,0.55536,0.57049,0.56158,0.18415,1.25151,1.30654,1.11453,0.001208,0.001208,0.001208
14,415.552,1.11041,0.86884,1.22969,0.08576,0.51148,0.12233,0.02817,1.48989,2.35763,1.52095,0.001142,0.001142,0.001142
15,442.921,1.0603,0.87164,1.18877,0.18289,0.40656,0.15404,0.04741,1.35358,2.47604,1.29777,0.001076,0.001076,0.001076
16,470.519,0.96206,0.72821,1.13126,0.58828,0.58033,0.59589,0.1926,1.28779,1.52396,1.23817,0.00101,0.00101,0.00101
17,498.174,0.89424,0.67228,1.09727,0.58012,0.54098,0.53652,0.16566,1.2903,1.37128,1.26044,0.000944,0.000944,0.000944
18,525.483,0.80057,0.61824,1.04094,0.16713,0.19672,0.05431,0.01123,1.52408,2.97216,1.60888,0.000878,0.000878,0.000878
19,553.043,0.74883,0.58033,1.00842,0.23144,0.52131,0.29641,0.10423,1.30257,2.17572,1.29212,0.000812,0.000812,0.000812
20,580.246,0.69681,0.53126,0.98294,0.67207,0.30238,0.35614,0.13517,1.24268,1.93938,1.29459,0.000746,0.000746,0.000746
